frame,reported_iao_charge_sum_e
0,23.0
1,26.0
2,28.0
3,34.0
4,36.0
5,28.0
6,30.0
7,26.0
8,22.0
9,32.0
10,17.0
11,23.0
12,21.0
13,25.0
14,36.0
15,36.0
16,30.0
17,28.0
18,22.0
19,32.0
20,20.0
21,22.0
22,20.0
23,22.0
24,19.0
25,19.0
26,19.0
27,21.0
28,19.0
29,21.0
30,24.0
31,28.0
32,24.0
33,22.0
34,22.0
35,26.0
36,30.0
37,24.0
38,30.0
39,22.0
40,42.0
41,41.0
42,29.0
43,25.0
44,23.0
45,27.0
46,36.0
47,25.0
48,31.0
49,38.0
50,16.0
51,22.0
52,30.0
53,28.0
54,22.0
55,15.0
56,23.0
57,33.0
58,31.0
59,31.0
60,27.0
61,23.0
62,21.0
63,27.0
64,25.0
65,19.0
66,19.0
67,23.0
68,23.0
69,31.0
70,20.0
71,23.0
72,21.0
73,19.0
74,19.0
75,21.0
76,23.0
77,27.0
78,23.0
79,27.0
80,23.0
81,23.0
82,37.0
83,41.0
84,29.0
85,25.0
86,27.0
87,19.0
88,25.0
89,29.0
90,21.0
91,21.0
92,19.0
93,21.0
94,23.0
95,23.0
96,25.0
97,27.0
98,19.0
99,21.0
100,29.0
101,29.0
102,29.0
103,35.0
104,28.0
105,33.0
106,29.0
107,25.0
108,33.0
109,24.0
110,15.0
111,19.0
112,23.0
113,25.0
114,25.0
115,29.0
116,33.0
117,27.0
118,38.0
119,25.0
120,17.0
121,21.0
122,19.0
123,17.0
124,17.0
125,19.0
126,15.0
127,17.0
128,17.0
129,15.0
130,16.0
131,22.0
132,28.0
133,26.0
134,26.0
135,18.0
136,16.0
137,21.0
138,19.0
139,19.0
140,28.0
141,24.0
142,24.0
143,26.0
144,25.0
145,20.0
146,16.0
147,23.0
148,18.0
149,20.0
150,26.0
151,25.0
152,29.0
153,25.0
154,21.0
155,25.0
156,23.0
157,21.0
158,18.0
159,18.0
160,29.0
161,27.0
162,17.0
163,18.0
164,20.0
165,19.0
166,21.0
167,25.0
168,27.0
169,27.0
170,25.0
171,25.0
172,28.0
173,21.0
174,26.0
175,20.0
176,24.0
177,33.0
178,25.0
179,23.0
