model,frame,atom_index,symbol,x_A,y_A,z_A,formal_charge_e,dft_raw_iao_charge_e,dft_iao_charge_e,mlip_predicted_charge_e,error_e,abs_error_e
polar1m,0,0,H,9.04638977,12.69041951,12.97776359,1.0,0.34007,0.34007,0.0240818709135,-0.3159881290865,0.3159881290865
polar1m,0,1,O,12.00387415,11.99911896,10.68902028,-2.0,1.404841,-0.595159,0.610332965851,1.205491965851,1.205491965851
polar1m,0,2,H,10.22830312,10.6984727,9.70881406,1.0,0.428848,0.428848,0.0309168696404,-0.3979311303596,0.3979311303596
polar1m,0,3,H,14.00025823,13.35300633,11.50542538,1.0,0.377207,0.377207,0.0197366140783,-0.3574703859217,0.3574703859217
polar1m,0,4,O,10.97866385,11.25748,13.29951981,-2.0,1.336603,-0.663397,0.00297727435827,0.66637427435827,0.66637427435827
polar1m,0,5,H,15.82112532,15.97842313,10.34284957,1.0,0.393043,0.393043,0.0267917141318,-0.3662512858682,0.3662512858682
polar1m,0,6,O,9.96369866,11.25927459,10.41597623,-2.0,1.291803,-0.708197,0.00235652178526,0.71055352178526,0.71055352178526
polar1m,0,7,H,11.3519755,11.6732565,10.03630506,1.0,0.442439,0.442439,0.0322208218277,-0.4102181781723,0.4102181781723
polar1m,0,8,O,9.3618432,13.00705177,11.99288639,-2.0,1.260802,-0.739198,-0.140917062759,0.5982809372410001,0.5982809372410001
polar1m,0,9,O,14.83745983,16.08654433,9.99885862,-2.0,1.245562,-0.7544379999999999,-0.0230867341161,0.7313512658839,0.7313512658839
polar1m,0,10,H,14.80853881,15.24095,9.63886689,1.0,0.42121,0.42121,0.0231007616967,-0.3981092383033,0.3981092383033
polar1m,0,11,H,14.67245584,12.87886678,13.65407252,1.0,0.451578,0.451578,0.0259985569865,-0.4255794430135,0.4255794430135
polar1m,0,12,H,10.95254067,12.17837727,13.47765241,1.0,0.396426,0.396426,0.0194590166211,-0.3769669833789,0.3769669833789
polar1m,0,13,O,13.32446879,9.04398124,12.27421419,-2.0,1.209391,-0.7906089999999999,-0.0349774211645,0.7556315788354999,0.7556315788354999
polar1m,0,14,H,10.90453624,15.67634478,12.60716,1.0,0.474926,0.474926,0.0330958552659,-0.44183014473410004,0.44183014473410004
polar1m,0,15,H,13.56362747,9.87090693,12.79555474,1.0,0.371521,0.371521,0.0144625436515,-0.3570584563485,0.3570584563485
polar1m,0,16,O,14.19978606,15.18390615,12.28964695,-2.0,1.250766,-0.749234,-0.0463924482465,0.7028415517534999,0.7028415517534999
polar1m,0,17,H,13.78443062,16.15102937,12.43821627,1.0,0.38197,0.38197,0.0237814690918,-0.35818853090819996,0.35818853090819996
polar1m,0,18,O,14.24708423,13.48946884,10.55915739,-2.0,1.256391,-0.743609,-0.0371050834656,0.7065039165343999,0.7065039165343999
polar1m,0,19,H,10.88627862,14.5775183,13.5538635,1.0,0.443087,0.443087,0.0288076400757,-0.4142793599243,0.4142793599243
polar1m,0,20,O,9.72445356,13.79012895,9.61162596,-2.0,1.094032,-0.9059680000000001,-0.111661501229,0.7943064987710001,0.7943064987710001
polar1m,0,21,H,12.90524926,12.49931331,10.37194059,1.0,0.398168,0.398168,0.0305225923657,-0.36764540763430004,0.36764540763430004
polar1m,0,22,H,9.65064036,13.10553721,10.52916952,1.0,0.33845,0.33845,0.0175315365195,-0.32091846348049996,0.32091846348049996
polar1m,0,23,O,10.9954168,14.76282272,12.64360511,-2.0,1.289902,-0.7100979999999999,0.120971485972,0.8310694859719999,0.8310694859719999
polar1m,0,24,H,13.6731646,14.81825083,11.47399678,1.0,0.35126,0.35126,0.0222308002412,-0.3290291997588,0.3290291997588
polar1m,0,25,H,10.0047654,10.76535674,11.28169113,1.0,0.40403,0.40403,0.0235889237374,-0.3804410762626,0.3804410762626
polar1m,0,26,H,11.58915171,10.965758,14.09064478,1.0,0.398435,0.398435,0.0260886289179,-0.3723463710821,0.3723463710821
polar1m,0,27,H,13.28209377,12.16114818,13.81965431,1.0,0.383797,0.383797,0.0185794234276,-0.3652175765724,0.3652175765724
polar1m,0,28,O,13.89275673,12.55739369,13.17444373,-2.0,1.241371,-0.758629,-0.0133327767253,0.7452962232747,0.7452962232747
polar1m,0,29,H,12.0,12.0,12.0,1.0,0.365364,0.365364,0.120659910142,-0.24470408985800002,0.24470408985800002
polar1m,0,30,H,9.50146159,14.43832449,10.12925478,1.0,0.432083,0.432083,0.0174580756575,-0.4146249243425,0.4146249243425
polar1m,0,31,H,14.50632789,14.42576911,10.65081963,1.0,0.374199,0.374199,0.028491973877,-0.345707026123,0.345707026123
polar1m,0,32,H,10.14150509,13.8847987,12.15432366,1.0,0.338978,0.338978,0.040769033134,-0.298208966866,0.298208966866
polar1m,0,33,H,13.11346635,8.28563039,12.90916784,1.0,0.411443,0.411443,0.0224601849914,-0.3889828150086,0.3889828150086
polar1m,1,0,H,8.97480461,12.80929996,12.87306965,1.0,0.382816,0.382816,0.0239498503506,-0.3588661496494,0.3588661496494
polar1m,1,1,O,11.90217079,12.06931715,10.55410876,-2.0,1.376071,-0.623929,0.437128543854,1.061057543854,1.061057543854
polar1m,1,2,H,10.16171883,10.75349816,9.52383193,1.0,0.372359,0.372359,0.0225436612964,-0.3498153387036,0.3498153387036
polar1m,1,3,H,13.96727324,13.44596543,11.45704084,1.0,0.374734,0.374734,0.0233120024204,-0.3514219975796,0.3514219975796
polar1m,1,4,O,11.63156511,9.68651926,9.62723557,-2.0,1.265145,-0.734855,-0.0313356816769,0.7035193183231,0.7035193183231
polar1m,1,5,O,14.10762601,9.21764874,9.35969156,-2.0,1.24351,-0.7564900000000001,-0.0466261990368,0.7098638009632001,0.7098638009632001
polar1m,1,6,O,10.87723433,11.37470378,13.2649456,-2.0,1.316423,-0.6835770000000001,0.0183609500527,0.7019379500527001,0.7019379500527001
polar1m,1,7,H,15.73542402,16.10180106,10.18615888,1.0,0.407482,0.407482,0.0237209852785,-0.38376101472150004,0.38376101472150004
polar1m,1,8,O,9.86491405,11.3141633,10.34519469,-2.0,1.231715,-0.7682850000000001,-0.0401855483651,0.7280994516349001,0.7280994516349001
polar1m,1,9,H,11.2773047,11.84240799,9.78350125,1.0,0.436973,0.436973,0.0295058041811,-0.4074671958189,0.4074671958189
polar1m,1,10,H,11.60808398,9.44937698,13.16112257,1.0,0.320287,0.320287,0.0181812569499,-0.30210574305009996,0.30210574305009996
polar1m,1,11,O,9.32684714,13.05902747,11.93511842,-2.0,1.225836,-0.7741640000000001,-0.0279228240252,0.7462411759748001,0.7462411759748001
polar1m,1,12,O,14.76164752,16.15377454,9.94402852,-2.0,1.248765,-0.7512350000000001,-0.0233522579074,0.7278827420926001,0.7278827420926001
