model,frame,molecule_index,species,n_atoms,atom_indices,formula_symbols,formal_charge_sum_e,dft_raw_iao_charge_sum_e,dft_iao_charge_e,mlip_predicted_charge_e,error_e,abs_error_e,centroid_x_A,centroid_y_A,centroid_z_A
polar1m,0,0,H2O,3,8 0 32,O H H,0.0,1.9398499999999999,-0.06015000000000004,-0.0760661587115,-0.01591615871149997,0.01591615871149997,9.516579353333334,13.194089993333334,12.374991213333333
polar1m,0,1,H3O,4,1 7 21 29,O H H H,1.0,2.610812,0.6108120000000001,0.7937362901864,0.18292429018639988,0.18292429018639988,12.0652747275,12.0429221925,10.7743164825
polar1m,0,2,H2O,3,6 2 25,O H H,0.0,2.124681,0.12468100000000004,0.05686231516306,-0.06781868483694004,0.06781868483694004,10.065589059999999,10.907701343333335,10.46882714
polar1m,0,3,H2O,3,18 3 31,O H H,0.0,2.007797,0.007797000000000054,0.011123504489700002,0.0033265044896999482,0.0033265044896999482,14.25122345,13.756081426666666,10.905134133333334
polar1m,0,4,H2O,3,4 12 26,O H H,0.0,2.131464,0.13146399999999997,0.04852491989727,-0.08293908010272996,0.08293908010272996,11.173452076666669,11.46720509,13.622605666666665
polar1m,0,5,H2O,3,9 5 10,O H H,0.0,2.059815,0.05981500000000001,0.0268057417124,-0.033009258287600006,0.033009258287600006,15.155707986666668,15.768639153333332,9.993525026666665
polar1m,0,6,H2O,3,28 11 27,O H H,0.0,2.076746,0.07674599999999998,0.031245203688800002,-0.04550079631119998,0.04550079631119998,13.949102113333334,12.53246955,13.549390186666665
polar1m,0,7,H2O,3,13 15 33,O H H,0.0,1.992355,-0.007644999999999902,0.0019453074784000022,0.009590307478399904,0.009590307478399904,13.333854203333331,9.06683952,12.659645590000002
polar1m,0,8,H2O,3,23 14 19,O H H,0.0,2.2079150000000003,0.20791500000000013,0.1828749813136,-0.02504001868640013,0.02504001868640013,10.928743886666666,15.005561933333334,12.934876203333333
polar1m,0,9,H2O,3,16 17 24,O H H,0.0,1.983996,-0.016003999999999963,-0.00038017891349999625,0.015623821086499966,0.015623821086499966,13.885793759999999,15.38439545,12.067286666666666
polar1m,0,10,H2O,3,20 22 30,O H H,0.0,1.8645649999999998,-0.13543500000000014,-0.076671889052,0.058763110948000144,0.058763110948000144,9.625518503333334,13.777996883333332,10.090016753333334
polar1m,1,0,H2O,3,11 0 37,O H H,0.0,2.036569,0.03656899999999991,0.009176507592099998,-0.02739249240789991,0.02739249240789991,9.392667509999999,13.211458560000002,12.269087073333333
