model,frame,atom_index,symbol,x_A,y_A,z_A,formal_charge_e,dft_raw_iao_charge_e,dft_iao_charge_e,mlip_predicted_charge_e,error_e,abs_error_e
polar1s,0,0,H,9.04638977,12.69041951,12.97776359,1.0,0.34007,0.34007,0.219410166144,-0.12065983385599999,0.12065983385599999
polar1s,0,1,O,12.00387415,11.99911896,10.68902028,-2.0,1.404841,-0.595159,-0.319606482983,0.275552517017,0.275552517017
polar1s,0,2,H,10.22830312,10.6984727,9.70881406,1.0,0.428848,0.428848,0.247096627951,-0.18175137204900002,0.18175137204900002
polar1s,0,3,H,14.00025823,13.35300633,11.50542538,1.0,0.377207,0.377207,0.223001465201,-0.154205534799,0.154205534799
polar1s,0,4,O,10.97866385,11.25748,13.29951981,-2.0,1.336603,-0.663397,-0.363818466663,0.299578533337,0.299578533337
polar1s,0,5,H,15.82112532,15.97842313,10.34284957,1.0,0.393043,0.393043,0.246961534023,-0.14608146597699997,0.14608146597699997
polar1s,0,6,O,9.96369866,11.25927459,10.41597623,-2.0,1.291803,-0.708197,-0.379650533199,0.32854646680099997,0.32854646680099997
polar1s,0,7,H,11.3519755,11.6732565,10.03630506,1.0,0.442439,0.442439,0.214769721031,-0.22766927896900002,0.22766927896900002
polar1s,0,8,O,9.3618432,13.00705177,11.99288639,-2.0,1.260802,-0.739198,-0.427317172289,0.311880827711,0.311880827711
polar1s,0,9,O,14.83745983,16.08654433,9.99885862,-2.0,1.245562,-0.7544379999999999,-0.423649251461,0.3307887485389999,0.3307887485389999
polar1s,0,10,H,14.80853881,15.24095,9.63886689,1.0,0.42121,0.42121,0.239323496819,-0.18188650318099997,0.18188650318099997
polar1s,0,11,H,14.67245584,12.87886678,13.65407252,1.0,0.451578,0.451578,0.248207956553,-0.203370043447,0.203370043447
polar1s,0,12,H,10.95254067,12.17837727,13.47765241,1.0,0.396426,0.396426,0.242770373821,-0.153655626179,0.153655626179
polar1s,0,13,O,13.32446879,9.04398124,12.27421419,-2.0,1.209391,-0.7906089999999999,-0.503341317177,0.28726768282299986,0.28726768282299986
polar1s,0,14,H,10.90453624,15.67634478,12.60716,1.0,0.474926,0.474926,0.27669942379,-0.19822657621,0.19822657621
polar1s,0,15,H,13.56362747,9.87090693,12.79555474,1.0,0.371521,0.371521,0.268547058105,-0.10297394189499998,0.10297394189499998
polar1s,0,16,O,14.19978606,15.18390615,12.28964695,-2.0,1.250766,-0.749234,-0.436740905046,0.31249309495399996,0.31249309495399996
polar1s,0,17,H,13.78443062,16.15102937,12.43821627,1.0,0.38197,0.38197,0.237836807966,-0.14413319203399996,0.14413319203399996
polar1s,0,18,O,14.24708423,13.48946884,10.55915739,-2.0,1.256391,-0.743609,-0.409552276134,0.33405672386599994,0.33405672386599994
polar1s,0,19,H,10.88627862,14.5775183,13.5538635,1.0,0.443087,0.443087,0.277240723372,-0.165846276628,0.165846276628
polar1s,0,20,O,9.72445356,13.79012895,9.61162596,-2.0,1.094032,-0.9059680000000001,-0.551937699318,0.35403030068200014,0.35403030068200014
polar1s,0,21,H,12.90524926,12.49931331,10.37194059,1.0,0.398168,0.398168,0.247163027525,-0.15100497247500003,0.15100497247500003
polar1s,0,22,H,9.65064036,13.10553721,10.52916952,1.0,0.33845,0.33845,0.198732823133,-0.13971717686699997,0.13971717686699997
polar1s,0,23,O,10.9954168,14.76282272,12.64360511,-2.0,1.289902,-0.7100979999999999,-0.285743057728,0.4243549422719999,0.4243549422719999
polar1s,0,24,H,13.6731646,14.81825083,11.47399678,1.0,0.35126,0.35126,0.215953171253,-0.135306828747,0.135306828747
polar1s,0,25,H,10.0047654,10.76535674,11.28169113,1.0,0.40403,0.40403,0.255838871002,-0.14819112899800002,0.14819112899800002
polar1s,0,26,H,11.58915171,10.965758,14.09064478,1.0,0.398435,0.398435,0.237163200974,-0.16127179902599997,0.16127179902599997
polar1s,0,27,H,13.28209377,12.16114818,13.81965431,1.0,0.383797,0.383797,0.254832208157,-0.12896479184300003,0.12896479184300003
polar1s,0,28,O,13.89275673,12.55739369,13.17444373,-2.0,1.241371,-0.758629,-0.393849611282,0.364779388718,0.364779388718
polar1s,0,29,H,12.0,12.0,12.0,1.0,0.365364,0.365364,0.294348418713,-0.07101558128700003,0.07101558128700003
polar1s,0,30,H,9.50146159,14.43832449,10.12925478,1.0,0.432083,0.432083,0.237513929605,-0.194569070395,0.194569070395
polar1s,0,31,H,14.50632789,14.42576911,10.65081963,1.0,0.374199,0.374199,0.195299625397,-0.178899374603,0.178899374603
polar1s,0,32,H,10.14150509,13.8847987,12.15432366,1.0,0.338978,0.338978,0.162484005094,-0.176493994906,0.176493994906
polar1s,0,33,H,13.11346635,8.28563039,12.90916784,1.0,0.411443,0.411443,0.254012256861,-0.15743074313900002,0.15743074313900002
polar1s,1,0,H,8.97480461,12.80929996,12.87306965,1.0,0.382816,0.382816,0.239339083433,-0.14347691656699998,0.14347691656699998
polar1s,1,1,O,11.90217079,12.06931715,10.55410876,-2.0,1.376071,-0.623929,-0.355809628963,0.26811937103699995,0.26811937103699995
polar1s,1,2,H,10.16171883,10.75349816,9.52383193,1.0,0.372359,0.372359,0.226905375719,-0.145453624281,0.145453624281
polar1s,1,3,H,13.96727324,13.44596543,11.45704084,1.0,0.374734,0.374734,0.226384416223,-0.148349583777,0.148349583777
polar1s,1,4,O,11.63156511,9.68651926,9.62723557,-2.0,1.265145,-0.734855,-0.43417981267,0.30067518733000004,0.30067518733000004
polar1s,1,5,O,14.10762601,9.21764874,9.35969156,-2.0,1.24351,-0.7564900000000001,-0.502406954765,0.25408304523500014,0.25408304523500014
polar1s,1,6,O,10.87723433,11.37470378,13.2649456,-2.0,1.316423,-0.6835770000000001,-0.402613461018,0.2809635389820001,0.2809635389820001
polar1s,1,7,H,15.73542402,16.10180106,10.18615888,1.0,0.407482,0.407482,0.245568662882,-0.16191333711800002,0.16191333711800002
polar1s,1,8,O,9.86491405,11.3141633,10.34519469,-2.0,1.231715,-0.7682850000000001,-0.465672433376,0.3026125666240001,0.3026125666240001
polar1s,1,9,H,11.2773047,11.84240799,9.78350125,1.0,0.436973,0.436973,0.23242482543,-0.20454817457,0.20454817457
polar1s,1,10,H,11.60808398,9.44937698,13.16112257,1.0,0.320287,0.320287,0.238409951329,-0.08187704867099999,0.08187704867099999
polar1s,1,11,O,9.32684714,13.05902747,11.93511842,-2.0,1.225836,-0.7741640000000001,-0.446811765432,0.32735223456800006,0.32735223456800006
polar1s,1,12,O,14.76164752,16.15377454,9.94402852,-2.0,1.248765,-0.7512350000000001,-0.421029627323,0.3302053726770001,0.3302053726770001
polar1s,1,13,O,11.4649758,9.2146311,14.17450228,-2.0,1.194059,-0.805941,-0.476064234972,0.329876765028,0.329876765028
polar1s,1,14,H,14.79270241,15.2967571,9.51497499,1.0,0.406815,0.406815,0.238328427076,-0.168486572924,0.168486572924
polar1s,1,15,H,11.59169993,7.06201116,13.63484854,1.0,0.344411,0.344411,0.200124263763,-0.14428673623700003,0.14428673623700003
polar1s,1,16,H,14.59294819,12.87223922,13.77269182,1.0,0.431736,0.431736,0.240074634552,-0.191661365448,0.191661365448
polar1s,1,17,H,10.69552378,12.2905243,13.35617157,1.0,0.397977,0.397977,0.239565357566,-0.15841164243400002,0.15841164243400002
polar1s,1,18,H,12.18584946,9.55472978,10.41376318,1.0,0.375533,0.375533,0.220116704702,-0.155416295298,0.155416295298
polar1s,1,19,O,13.21295014,9.09534033,12.16698153,-2.0,1.229442,-0.7705580000000001,-0.418516337872,0.3520416621280001,0.3520416621280001
polar1s,1,20,H,14.93163633,9.8014365,9.30715948,1.0,0.387637,0.387637,0.238429263234,-0.14920773676600002,0.14920773676600002
polar1s,1,21,H,13.33345359,9.88939445,12.64924508,1.0,0.387465,0.387465,0.251170217991,-0.13629478200900003,0.13629478200900003
polar1s,1,22,O,14.10858481,15.26357454,12.17476066,-2.0,1.163959,-0.836041,-0.480469912291,0.35557108770900003,0.35557108770900003
polar1s,1,23,H,13.64449427,15.99052871,12.4367023,1.0,0.442542,0.442542,0.250761270523,-0.19178072947699998,0.19178072947699998
polar1s,1,24,O,14.16172655,13.6240473,10.48129845,-2.0,1.242225,-0.7577750000000001,-0.409591168165,0.34818383183500007,0.34818383183500007
polar1s,1,25,H,12.68137763,12.70109291,10.50764164,1.0,0.384687,0.384687,0.22568333149,-0.15900366851,0.15900366851
polar1s,1,26,H,13.66716017,14.80844322,11.35168525,1.0,0.352715,0.352715,0.212377250195,-0.140337749805,0.140337749805
polar1s,1,27,H,10.07887928,10.85218739,11.10332921,1.0,0.412568,0.412568,0.240289479494,-0.17227852050599998,0.17227852050599998
polar1s,1,28,H,11.37486651,10.89350269,14.01281451,1.0,0.396835,0.396835,0.23124012351,-0.16559487649,0.16559487649
polar1s,1,29,H,13.05848806,12.24298307,13.57337051,1.0,0.378086,0.378086,0.248712226748,-0.12937377325199997,0.12937377325199997
polar1s,1,30,O,13.86084482,12.5921623,13.09415004,-2.0,1.265726,-0.7342740000000001,-0.395825892687,0.33844810731300007,0.33844810731300007
