model,frame,instance_index,local_frame,molecule_index,species,n_atoms,atom_indices,oxygen_atom_index,hydrogen_atom_indices,molecule_track_id,formula_symbols,formal_charge_sum_e,dft_raw_iao_charge_sum_e,dft_iao_charge_e,mlip_predicted_charge_e,error_e,abs_error_e,centroid_x_A,centroid_y_A,centroid_z_A
polar1s,0,0,0,0,H2O,3,8 0 32,8,0 32,O:8,O H H,0.0,1.9398499999999999,-0.06015000000000004,-0.04542300105100003,0.014726998949000009,0.014726998949000009,9.516579353333334,13.194089993333334,12.374991213333333
polar1s,0,0,0,1,H3O,4,1 7 21 29,1,7 21 29,O:1,O H H H,1.0,2.610812,0.6108120000000001,0.436674684286,-0.17413731571400015,0.17413731571400015,12.0652747275,12.0429221925,10.7743164825
polar1s,0,0,0,2,H2O,3,6 2 25,6,2 25,O:6,O H H,0.0,2.1246810000000003,0.12468100000000004,0.12328496575399997,-0.0013960342460000719,0.0013960342460000719,10.065589059999999,10.907701343333335,10.46882714
polar1s,0,0,0,3,H2O,3,18 3 31,18,3 31,O:18,O H H,0.0,2.007797,0.007797000000000054,0.008748814463999971,0.0009518144639999171,0.0009518144639999171,14.25122345,13.756081426666666,10.905134133333334
polar1s,0,0,0,4,H2O,3,4 12 26,4,12 26,O:4,O H H,0.0,2.131464,0.13146399999999997,0.11611510813200002,-0.015348891867999953,0.015348891867999953,11.173452076666669,11.46720509,13.622605666666665
polar1s,0,0,0,5,H2O,3,9 5 10,9,5 10,O:9,O H H,0.0,2.059815,0.05981500000000001,0.06263577938099998,0.002820779380999977,0.002820779380999977,15.155707986666668,15.768639153333332,9.993525026666665
polar1s,0,0,0,6,H2O,3,28 11 27,28,11 27,O:28,O H H,0.0,2.076746,0.07674599999999998,0.10919055342799994,0.032444553427999956,0.032444553427999956,13.949102113333334,12.53246955,13.549390186666665
polar1s,0,0,0,7,H2O,3,13 15 33,13,15 33,O:13,O H H,0.0,1.992355,-0.007644999999999902,0.019217997788999963,0.026862997788999865,0.026862997788999865,13.333854203333331,9.06683952,12.659645590000002
polar1s,0,0,0,8,H2O,3,23 14 19,23,14 19,O:23,O H H,0.0,2.207915,0.20791500000000013,0.268197089434,0.060282089433999875,0.060282089433999875,10.928743886666666,15.005561933333334,12.934876203333333
polar1s,0,0,0,9,H2O,3,16 17 24,16,17 24,O:16,O H H,0.0,1.9839959999999999,-0.016003999999999963,0.01704907417300003,0.03305307417299999,0.03305307417299999,13.885793759999999,15.38439545,12.067286666666666
polar1s,0,0,0,10,H2O,3,20 22 30,20,22 30,O:20,O H H,0.0,1.8645649999999998,-0.1354350000000002,-0.11569094657999995,0.01974405342000024,0.01974405342000024,9.625518503333334,13.777996883333332,10.090016753333334
polar1s,1,0,1,0,H2O,3,11 0 37,11,0 37,O:11,O H H,0.0,2.036569,0.03656899999999991,0.045850038528999965,0.009281038529000057,0.009281038529000057,9.392667509999999,13.211458560000002,12.269087073333333
polar1s,1,0,1,1,H3O,4,1 9 25 32,1,9 25 32,O:1,O H H H,1.0,2.5474390000000002,0.547439,0.35200661420900003,-0.19543238579099997,0.19543238579099997,11.96521328,12.1532045125,10.711312912499999
polar1s,1,0,1,2,H2O,3,8 2 27,8,2 27,O:8,O H H,0.0,2.0166419999999996,0.01664199999999988,0.0015224218369999931,-0.015119578162999886,0.015119578162999886,10.035170720000002,10.97328295,10.32411861
polar1s,1,0,1,3,H2O,3,24 3 36,24,3 36,O:24,O H H,0.0,1.9962360000000001,-0.0037640000000001006,0.013402864338000003,0.017166864338000104,0.017166864338000104,14.172167420000001,13.872557613333335,10.821101800000001
polar1s,1,0,1,4,H2O,3,4 18 35,4,18 35,O:4,O H H,0.0,2.031986,0.03198599999999996,0.030239284038000025,-0.001746715961999934,0.001746715961999934,11.88464255,9.399682556666667,9.621688776666666
polar1s,1,0,1,5,H2O,3,5 20 33,5,20 33,O:5,O H H,0.0,1.9537259999999999,-0.04627400000000009,-0.03415624797299999,0.012117752027000106,0.012117752027000106,14.203335690000001,9.544896586666667,9.640224393333332
