frame,stem,input,slurm,charge,multiplicity,n_atoms
0,r09_hot_w_isolatedH_bluehive_000,expand/r09_hot_w_isolatedH_bluehive_000.inp,expand/r09_hot_w_isolatedH_bluehive_000.slurm,1,1,34
1,r09_hot_w_isolatedH_bluehive_001,expand/r09_hot_w_isolatedH_bluehive_001.inp,expand/r09_hot_w_isolatedH_bluehive_001.slurm,0,1,39
2,r09_hot_w_isolatedH_bluehive_002,expand/r09_hot_w_isolatedH_bluehive_002.inp,expand/r09_hot_w_isolatedH_bluehive_002.slurm,0,1,42
3,r09_hot_w_isolatedH_bluehive_003,expand/r09_hot_w_isolatedH_bluehive_003.inp,expand/r09_hot_w_isolatedH_bluehive_003.slurm,0,1,51
4,r09_hot_w_isolatedH_bluehive_004,expand/r09_hot_w_isolatedH_bluehive_004.inp,expand/r09_hot_w_isolatedH_bluehive_004.slurm,0,1,54
5,r09_hot_w_isolatedH_bluehive_005,expand/r09_hot_w_isolatedH_bluehive_005.inp,expand/r09_hot_w_isolatedH_bluehive_005.slurm,0,1,42
6,r09_hot_w_isolatedH_bluehive_006,expand/r09_hot_w_isolatedH_bluehive_006.inp,expand/r09_hot_w_isolatedH_bluehive_006.slurm,0,1,45
7,r09_hot_w_isolatedH_bluehive_007,expand/r09_hot_w_isolatedH_bluehive_007.inp,expand/r09_hot_w_isolatedH_bluehive_007.slurm,0,1,39
8,r09_hot_w_isolatedH_bluehive_008,expand/r09_hot_w_isolatedH_bluehive_008.inp,expand/r09_hot_w_isolatedH_bluehive_008.slurm,0,1,33
9,r09_hot_w_isolatedH_bluehive_009,expand/r09_hot_w_isolatedH_bluehive_009.inp,expand/r09_hot_w_isolatedH_bluehive_009.slurm,0,1,48
10,r09_hot_w_isolatedH_bluehive_010,expand/r09_hot_w_isolatedH_bluehive_010.inp,expand/r09_hot_w_isolatedH_bluehive_010.slurm,1,1,25
11,r09_hot_w_isolatedH_bluehive_011,expand/r09_hot_w_isolatedH_bluehive_011.inp,expand/r09_hot_w_isolatedH_bluehive_011.slurm,1,1,34
12,r09_hot_w_isolatedH_bluehive_012,expand/r09_hot_w_isolatedH_bluehive_012.inp,expand/r09_hot_w_isolatedH_bluehive_012.slurm,1,1,31
13,r09_hot_w_isolatedH_bluehive_013,expand/r09_hot_w_isolatedH_bluehive_013.inp,expand/r09_hot_w_isolatedH_bluehive_013.slurm,1,1,37
14,r09_hot_w_isolatedH_bluehive_014,expand/r09_hot_w_isolatedH_bluehive_014.inp,expand/r09_hot_w_isolatedH_bluehive_014.slurm,0,1,54
15,r09_hot_w_isolatedH_bluehive_015,expand/r09_hot_w_isolatedH_bluehive_015.inp,expand/r09_hot_w_isolatedH_bluehive_015.slurm,0,1,54
16,r09_hot_w_isolatedH_bluehive_016,expand/r09_hot_w_isolatedH_bluehive_016.inp,expand/r09_hot_w_isolatedH_bluehive_016.slurm,0,1,45
17,r09_hot_w_isolatedH_bluehive_017,expand/r09_hot_w_isolatedH_bluehive_017.inp,expand/r09_hot_w_isolatedH_bluehive_017.slurm,0,1,42
18,r09_hot_w_isolatedH_bluehive_018,expand/r09_hot_w_isolatedH_bluehive_018.inp,expand/r09_hot_w_isolatedH_bluehive_018.slurm,0,1,33
19,r09_hot_w_isolatedH_bluehive_019,expand/r09_hot_w_isolatedH_bluehive_019.inp,expand/r09_hot_w_isolatedH_bluehive_019.slurm,0,1,48
20,r09_hot_w_isolatedH_bluehive_020,expand/r09_hot_w_isolatedH_bluehive_020.inp,expand/r09_hot_w_isolatedH_bluehive_020.slurm,0,1,30
21,r09_hot_w_isolatedH_bluehive_021,expand/r09_hot_w_isolatedH_bluehive_021.inp,expand/r09_hot_w_isolatedH_bluehive_021.slurm,0,1,33
22,r09_hot_w_isolatedH_bluehive_022,expand/r09_hot_w_isolatedH_bluehive_022.inp,expand/r09_hot_w_isolatedH_bluehive_022.slurm,0,1,30
23,r09_hot_w_isolatedH_bluehive_023,expand/r09_hot_w_isolatedH_bluehive_023.inp,expand/r09_hot_w_isolatedH_bluehive_023.slurm,0,1,33
24,r09_hot_w_isolatedH_bluehive_024,expand/r09_hot_w_isolatedH_bluehive_024.inp,expand/r09_hot_w_isolatedH_bluehive_024.slurm,1,1,28
25,r09_hot_w_isolatedH_bluehive_025,expand/r09_hot_w_isolatedH_bluehive_025.inp,expand/r09_hot_w_isolatedH_bluehive_025.slurm,1,1,28
26,r09_hot_w_isolatedH_bluehive_026,expand/r09_hot_w_isolatedH_bluehive_026.inp,expand/r09_hot_w_isolatedH_bluehive_026.slurm,1,1,28
27,r09_hot_w_isolatedH_bluehive_027,expand/r09_hot_w_isolatedH_bluehive_027.inp,expand/r09_hot_w_isolatedH_bluehive_027.slurm,1,1,31
28,r09_hot_w_isolatedH_bluehive_028,expand/r09_hot_w_isolatedH_bluehive_028.inp,expand/r09_hot_w_isolatedH_bluehive_028.slurm,1,1,28
29,r09_hot_w_isolatedH_bluehive_029,expand/r09_hot_w_isolatedH_bluehive_029.inp,expand/r09_hot_w_isolatedH_bluehive_029.slurm,1,1,31
30,r09_hot_w_isolatedH_bluehive_030,expand/r09_hot_w_isolatedH_bluehive_030.inp,expand/r09_hot_w_isolatedH_bluehive_030.slurm,0,1,36
31,r09_hot_w_isolatedH_bluehive_031,expand/r09_hot_w_isolatedH_bluehive_031.inp,expand/r09_hot_w_isolatedH_bluehive_031.slurm,0,1,42
32,r09_hot_w_isolatedH_bluehive_032,expand/r09_hot_w_isolatedH_bluehive_032.inp,expand/r09_hot_w_isolatedH_bluehive_032.slurm,0,1,36
33,r09_hot_w_isolatedH_bluehive_033,expand/r09_hot_w_isolatedH_bluehive_033.inp,expand/r09_hot_w_isolatedH_bluehive_033.slurm,0,1,33
34,r09_hot_w_isolatedH_bluehive_034,expand/r09_hot_w_isolatedH_bluehive_034.inp,expand/r09_hot_w_isolatedH_bluehive_034.slurm,0,1,33
35,r09_hot_w_isolatedH_bluehive_035,expand/r09_hot_w_isolatedH_bluehive_035.inp,expand/r09_hot_w_isolatedH_bluehive_035.slurm,0,1,39
36,r09_hot_w_isolatedH_bluehive_036,expand/r09_hot_w_isolatedH_bluehive_036.inp,expand/r09_hot_w_isolatedH_bluehive_036.slurm,0,1,45
37,r09_hot_w_isolatedH_bluehive_037,expand/r09_hot_w_isolatedH_bluehive_037.inp,expand/r09_hot_w_isolatedH_bluehive_037.slurm,0,1,36
38,r09_hot_w_isolatedH_bluehive_038,expand/r09_hot_w_isolatedH_bluehive_038.inp,expand/r09_hot_w_isolatedH_bluehive_038.slurm,0,1,45
39,r09_hot_w_isolatedH_bluehive_039,expand/r09_hot_w_isolatedH_bluehive_039.inp,expand/r09_hot_w_isolatedH_bluehive_039.slurm,0,1,33
40,r09_hot_w_isolatedH_bluehive_040,expand/r09_hot_w_isolatedH_bluehive_040.inp,expand/r09_hot_w_isolatedH_bluehive_040.slurm,2,1,62
41,r09_hot_w_isolatedH_bluehive_041,expand/r09_hot_w_isolatedH_bluehive_041.inp,expand/r09_hot_w_isolatedH_bluehive_041.slurm,1,1,61
42,r09_hot_w_isolatedH_bluehive_042,expand/r09_hot_w_isolatedH_bluehive_042.inp,expand/r09_hot_w_isolatedH_bluehive_042.slurm,1,1,43
43,r09_hot_w_isolatedH_bluehive_043,expand/r09_hot_w_isolatedH_bluehive_043.inp,expand/r09_hot_w_isolatedH_bluehive_043.slurm,1,1,37
44,r09_hot_w_isolatedH_bluehive_044,expand/r09_hot_w_isolatedH_bluehive_044.inp,expand/r09_hot_w_isolatedH_bluehive_044.slurm,1,1,34
45,r09_hot_w_isolatedH_bluehive_045,expand/r09_hot_w_isolatedH_bluehive_045.inp,expand/r09_hot_w_isolatedH_bluehive_045.slurm,1,1,40
46,r09_hot_w_isolatedH_bluehive_046,expand/r09_hot_w_isolatedH_bluehive_046.inp,expand/r09_hot_w_isolatedH_bluehive_046.slurm,0,1,54
47,r09_hot_w_isolatedH_bluehive_047,expand/r09_hot_w_isolatedH_bluehive_047.inp,expand/r09_hot_w_isolatedH_bluehive_047.slurm,1,1,37
48,r09_hot_w_isolatedH_bluehive_048,expand/r09_hot_w_isolatedH_bluehive_048.inp,expand/r09_hot_w_isolatedH_bluehive_048.slurm,1,1,46
49,r09_hot_w_isolatedH_bluehive_049,expand/r09_hot_w_isolatedH_bluehive_049.inp,expand/r09_hot_w_isolatedH_bluehive_049.slurm,2,1,56
50,r09_hot_w_isolatedH_bluehive_050,expand/r09_hot_w_isolatedH_bluehive_050.inp,expand/r09_hot_w_isolatedH_bluehive_050.slurm,0,1,24
51,r09_hot_w_isolatedH_bluehive_051,expand/r09_hot_w_isolatedH_bluehive_051.inp,expand/r09_hot_w_isolatedH_bluehive_051.slurm,0,1,33
52,r09_hot_w_isolatedH_bluehive_052,expand/r09_hot_w_isolatedH_bluehive_052.inp,expand/r09_hot_w_isolatedH_bluehive_052.slurm,0,1,45
53,r09_hot_w_isolatedH_bluehive_053,expand/r09_hot_w_isolatedH_bluehive_053.inp,expand/r09_hot_w_isolatedH_bluehive_053.slurm,0,1,42
54,r09_hot_w_isolatedH_bluehive_054,expand/r09_hot_w_isolatedH_bluehive_054.inp,expand/r09_hot_w_isolatedH_bluehive_054.slurm,0,1,33
55,r09_hot_w_isolatedH_bluehive_055,expand/r09_hot_w_isolatedH_bluehive_055.inp,expand/r09_hot_w_isolatedH_bluehive_055.slurm,1,1,22
56,r09_hot_w_isolatedH_bluehive_056,expand/r09_hot_w_isolatedH_bluehive_056.inp,expand/r09_hot_w_isolatedH_bluehive_056.slurm,1,1,34
57,r09_hot_w_isolatedH_bluehive_057,expand/r09_hot_w_isolatedH_bluehive_057.inp,expand/r09_hot_w_isolatedH_bluehive_057.slurm,1,1,49
58,r09_hot_w_isolatedH_bluehive_058,expand/r09_hot_w_isolatedH_bluehive_058.inp,expand/r09_hot_w_isolatedH_bluehive_058.slurm,1,1,46
59,r09_hot_w_isolatedH_bluehive_059,expand/r09_hot_w_isolatedH_bluehive_059.inp,expand/r09_hot_w_isolatedH_bluehive_059.slurm,1,1,46
