frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,predicted_charge_sum_e,status,error
0,off,medium,off,cuda,float32,34,H23O11,-22901.7675781,-673.581399357,8.01224141431,3.58093342346,1,,ok,
1,off,medium,off,cuda,float32,39,H26O13,-27046.5996094,-693.502554087,7.02894140064,3.25558102304,0,,ok,
2,off,medium,off,cuda,float32,42,H28O14,-29127.8222656,-693.519577753,10.5326785935,3.72447620331,0,,ok,
3,off,medium,off,cuda,float32,51,H34O17,-35368.9492188,-693.508808211,8.03272358948,3.39814482514,0,,ok,
4,off,medium,off,cuda,float32,54,H36O18,-37449.3359375,-693.506221065,11.0953969175,3.89181386924,0,,ok,
5,off,medium,off,cuda,float32,42,H28O14,-29126.8457031,-693.496326265,8.7609691056,3.67346586157,0,,ok,
6,off,medium,off,cuda,float32,45,H30O15,-31207.671875,-693.503819444,9.30901887448,4.04916885106,0,,ok,
7,off,medium,off,cuda,float32,39,H26O13,-27049.0332031,-693.564953926,5.75858648828,2.56160759224,0,,ok,
8,off,medium,off,cuda,float32,33,H22O11,-22886.5585938,-693.532078598,5.64128269177,3.01427185895,0,,ok,
9,off,medium,off,cuda,float32,48,H32O16,-33288.2851562,-693.505940755,7.11839910666,3.06353958909,0,,ok,
10,off,medium,off,cuda,float32,25,H17O8,-16660.5566406,-666.422265625,5.90414562611,3.46047636102,1,,ok,
11,off,medium,off,cuda,float32,34,H23O11,-22901.765625,-673.581341912,9.29070043408,3.84156105863,1,,ok,
12,off,medium,off,cuda,float32,31,H21O10,-20823.09375,-671.712701613,6.14727911915,3.44244999557,1,,ok,
13,off,medium,off,cuda,float32,37,H25O12,-24983.6425781,-675.233583193,7.88259916436,3.87434224792,1,,ok,
14,off,medium,off,cuda,float32,54,H36O18,-37450.359375,-693.525173611,15.3212299751,4.36963915235,0,,ok,
15,off,medium,off,cuda,float32,54,H36O18,-37446.2421875,-693.448929398,8.52328515916,3.78864522652,0,,ok,
16,off,medium,off,cuda,float32,45,H30O15,-31204.4433594,-693.432074653,6.48364600331,3.60469796561,0,,ok,
17,off,medium,off,cuda,float32,42,H28O14,-29126.8847656,-693.497256324,8.06607321017,3.76995482804,0,,ok,
18,off,medium,off,cuda,float32,33,H22O11,-22884.7460938,-693.477154356,7.37831611622,3.415402821,0,,ok,
