frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,predicted_charge_sum_e,status,error
0,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22885.8222656,-673.112419577,8.10905137452,3.58674805484,1,1.57859176397e-07,ok,
1,polar1m,polar-1-m,polar,cuda,float32,39,H26O13,-27027.9335938,-693.023938301,6.66530676229,3.45948173969,0,-5.58793544769e-09,ok,
2,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29107.1386719,-693.027111235,10.3641065504,4.01911403291,0,-3.91155481339e-08,ok,
3,polar1m,polar-1-m,polar,cuda,float32,51,H34O17,-35344.1640625,-693.022824755,8.28885103676,3.58848089753,0,1.86264514923e-08,ok,
4,polar1m,polar-1-m,polar,cuda,float32,54,H36O18,-37423.7421875,-693.032262731,10.4194215472,3.73650170199,0,2.04890966415e-08,ok,
5,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29105.1328125,-692.979352679,8.57572089971,3.46574065667,0,-1.49011611938e-08,ok,
6,polar1m,polar-1-m,polar,cuda,float32,45,H30O15,-31184.1503906,-692.981119792,9.50778540756,4.00241531362,0,5.58793544769e-09,ok,
7,polar1m,polar-1-m,polar,cuda,float32,39,H26O13,-27027.6171875,-693.015825321,5.50805002929,2.51619904813,0,-3.53902578354e-08,ok,
8,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22867.7265625,-692.961410985,5.93152345576,2.86634335016,0,5.58793544769e-08,ok,
9,polar1m,polar-1-m,polar,cuda,float32,48,H32O16,-33263.7890625,-692.995605469,6.80885010468,3.30539338519,0,1.67638063431e-08,ok,
10,polar1m,polar-1-m,polar,cuda,float32,25,H17O8,-16647.8652344,-665.914609375,5.51953752957,3.31862326191,1,2.421438694e-08,ok,
11,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22885.4960938,-673.102826287,9.20540945774,3.73192746079,1,-1.11758708954e-08,ok,
12,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20807.9863281,-671.225365423,6.20226298938,3.23876916345,1,2.04890966415e-08,ok,
13,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24965.9882812,-674.756440034,8.20922513006,3.76055502822,1,1.86264514923e-08,ok,
14,polar1m,polar-1-m,polar,cuda,float32,54,H36O18,-37426.6757812,-693.086588542,15.1030848386,4.32752868745,0,-6.14672899246e-08,ok,
15,polar1m,polar-1-m,polar,cuda,float32,54,H36O18,-37423.5273438,-693.028284144,8.64960663974,3.66273563145,0,-6.70552253723e-08,ok,
16,polar1m,polar-1-m,polar,cuda,float32,45,H30O15,-31185.1679688,-693.003732639,6.49017819248,3.58846284393,0,6.51925802231e-08,ok,
17,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29107.7128906,-693.04078311,8.32091777138,3.7100772399,0,1.30385160446e-08,ok,
18,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22868.7714844,-692.993075284,7.47503259577,3.51937115586,0,-5.21540641785e-08,ok,
19,polar1m,polar-1-m,polar,cuda,float32,48,H32O16,-33264.9882812,-693.020589193,9.27025719212,3.86556690999,0,-8.75443220139e-08,ok,
20,polar1m,polar-1-m,polar,cuda,float32,30,H20O10,-20794.3144531,-693.143815104,8.85394530494,3.66127840764,0,1.49011611938e-08,ok,
21,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22873.3925781,-693.133108428,10.1120586855,4.1808485676,0,-1.67638063431e-08,ok,
22,polar1m,polar-1-m,polar,cuda,float32,30,H20O10,-20793.4765625,-693.115885417,6.78421335578,3.92575498143,0,7.45058059692e-09,ok,
23,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22870.6601562,-693.050307765,10.381549719,4.27646431754,0,-4.09781932831e-08,ok,
24,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18727.5253906,-668.840192522,7.37909662585,3.75777188125,1,0,ok,
25,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18726.5605469,-668.805733817,7.929156682,3.73932652118,1,-6.89178705215e-08,ok,
26,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18726.9414062,-668.819335938,7.12332610891,3.66787763424,1,-7.63684511185e-08,ok,
27,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20807.2792969,-671.202557964,6.02914215524,2.98097696578,1,5.21540641785e-08,ok,
28,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18728.0996094,-668.860700335,6.38640521221,3.18240663058,1,3.53902578354e-08,ok,
29,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20806.6757812,-671.183089718,6.67638469706,3.44602942202,1,2.23517417908e-08,ok,
30,polar1m,polar-1-m,polar,cuda,float32,36,H24O12,-24953.5742188,-693.15483941,16.5877365768,4.62169652572,0,-1.86264514923e-09,ok,
