frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,predicted_charge_sum_e,status,error
0,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22887.0703125,-673.149126838,8.17122548539,3.56174055084,1,1.19209289551e-07,ok,
1,polar1s,polar-1-s,polar,cuda,float32,39,H26O13,-27028.3085938,-693.033553686,6.72481144206,3.35232503713,0,0,ok,
2,polar1s,polar-1-s,polar,cuda,float32,42,H28O14,-29107.6699219,-693.039760045,10.3634613789,3.91870348125,0,-2.98023223877e-08,ok,
3,polar1s,polar-1-s,polar,cuda,float32,51,H34O17,-35344.8007812,-693.035309436,8.43501779811,3.53125130116,0,-5.96046447754e-08,ok,
4,polar1s,polar-1-s,polar,cuda,float32,54,H36O18,-37424.8320312,-693.052445023,10.3855956429,3.78377691887,0,2.98023223877e-08,ok,
5,polar1s,polar-1-s,polar,cuda,float32,42,H28O14,-29106.7304688,-693.017392113,8.73198180963,3.4969644054,0,7.45058059692e-08,ok,
6,polar1s,polar-1-s,polar,cuda,float32,45,H30O15,-31185.8886719,-693.019748264,9.57073214032,3.96868793224,0,4.47034835815e-08,ok,
7,polar1s,polar-1-s,polar,cuda,float32,39,H26O13,-27029.1816406,-693.055939503,5.35520244882,2.5108260672,0,-1.19209289551e-07,ok,
8,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22869.1621094,-693.004912405,5.84339240664,2.93649519489,0,-4.47034835815e-08,ok,
9,polar1s,polar-1-s,polar,cuda,float32,48,H32O16,-33265.3945312,-693.029052734,6.8460212771,3.27687740936,0,5.96046447754e-08,ok,
10,polar1s,polar-1-s,polar,cuda,float32,25,H17O8,-16649.0917969,-665.963671875,5.63662583292,3.2993783497,1,1.19209289551e-07,ok,
11,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22887.0390625,-673.148207721,8.80723941887,3.71481663043,1,-5.96046447754e-08,ok,
12,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20809.3730469,-671.270098286,6.30605142506,3.2730520691,1,1.34110450745e-07,ok,
13,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24967.3535156,-674.79333826,8.21847023847,3.7316460735,1,1.78813934326e-07,ok,
14,polar1s,polar-1-s,polar,cuda,float32,54,H36O18,-37426.9375,-693.091435185,15.0413261105,4.3120196756,0,-1.19209289551e-07,ok,
15,polar1s,polar-1-s,polar,cuda,float32,54,H36O18,-37423.8515625,-693.034288194,8.60893193202,3.66786423336,0,-2.98023223877e-08,ok,
16,polar1s,polar-1-s,polar,cuda,float32,45,H30O15,-31185.8144531,-693.018098958,6.57949530504,3.60244643504,0,5.96046447754e-08,ok,
17,polar1s,polar-1-s,polar,cuda,float32,42,H28O14,-29108.4003906,-693.057152158,8.3384095105,3.72844789761,0,-1.49011611938e-08,ok,
18,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22869.265625,-693.008049242,7.70642363044,3.49926602627,0,-1.49011611938e-08,ok,
19,polar1s,polar-1-s,polar,cuda,float32,48,H32O16,-33265.7070312,-693.035563151,9.24943104838,3.82623921201,0,-1.49011611938e-08,ok,
20,polar1s,polar-1-s,polar,cuda,float32,30,H20O10,-20794.3183594,-693.143945313,9.01812505337,3.66926687099,0,-5.96046447754e-08,ok,
21,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22873.3808594,-693.132753314,10.0751322402,4.16709015069,0,0,ok,
22,polar1s,polar-1-s,polar,cuda,float32,30,H20O10,-20793.5136719,-693.117122396,6.77521558065,3.88734183897,0,1.49011611938e-08,ok,
23,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22870.7265625,-693.052320076,10.237107068,4.27389012072,0,-4.47034835815e-08,ok,
24,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18728.65625,-668.880580357,7.42302970371,3.75366776023,1,-4.47034835815e-08,ok,
25,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18727.1855469,-668.828055246,7.84916168433,3.68105757852,1,1.63912773132e-07,ok,
26,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18727.8535156,-668.851911272,6.76846506424,3.61843623614,1,-1.63912773132e-07,ok,
27,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20808.296875,-671.235383065,6.02839776094,2.96329265836,1,7.45058059692e-08,ok,
28,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18729.0527344,-668.894740513,6.35555210606,3.12393904435,1,7.45058059692e-08,ok,
29,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20807.5820312,-671.212323589,6.81167162011,3.44398098148,1,2.53319740295e-07,ok,
30,polar1s,polar-1-s,polar,cuda,float32,36,H24O12,-24953.5214844,-693.153374566,16.64226683,4.62696075309,0,-1.63912773132e-07,ok,
