frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,mlip_charge_setting_e,predicted_charge_sum_e,status,error
0,off,medium,off,cuda,float32,34,H23O11,-22901.765625,-673.581341912,8.01224286446,3.58093380928,1,1,,ok,
1,off,medium,off,cuda,float32,39,H26O13,-27046.5996094,-693.502554087,7.02894160926,3.2555809704,0,0,,ok,
2,off,medium,off,cuda,float32,42,H28O14,-29127.8222656,-693.519577753,10.5326778892,3.72447617636,0,0,,ok,
3,off,medium,off,cuda,float32,51,H34O17,-35368.9492188,-693.508808211,8.0327242815,3.39814499921,0,0,,ok,
4,off,medium,off,cuda,float32,54,H36O18,-37449.3359375,-693.506221065,11.095393972,3.89181362008,0,0,,ok,
5,off,medium,off,cuda,float32,42,H28O14,-29126.8457031,-693.496326265,8.76097008014,3.67346590436,0,0,,ok,
6,off,medium,off,cuda,float32,45,H30O15,-31207.671875,-693.503819444,9.30901741144,4.04916848096,0,0,,ok,
7,off,medium,off,cuda,float32,39,H26O13,-27049.0332031,-693.564953926,5.75858648967,2.5616076318,0,0,,ok,
8,off,medium,off,cuda,float32,33,H22O11,-22886.5585938,-693.532078598,5.6412835538,3.01427195688,0,0,,ok,
9,off,medium,off,cuda,float32,48,H32O16,-33288.2851562,-693.505940755,7.11839867932,3.0635394197,0,0,,ok,
10,off,medium,off,cuda,float32,25,H17O8,-16660.5566406,-666.422265625,5.90414524226,3.46047610597,1,1,,ok,
11,off,medium,off,cuda,float32,34,H23O11,-22901.765625,-673.581341912,9.29070029859,3.84156128712,1,1,,ok,
12,off,medium,off,cuda,float32,31,H21O10,-20823.09375,-671.712701613,6.14727944545,3.4424501228,1,1,,ok,
13,off,medium,off,cuda,float32,37,H25O12,-24983.6425781,-675.233583193,7.88259781247,3.87434195015,1,1,,ok,
14,off,medium,off,cuda,float32,54,H36O18,-37450.359375,-693.525173611,15.3212292439,4.36963892632,0,0,,ok,
15,off,medium,off,cuda,float32,54,H36O18,-37446.2421875,-693.448929398,8.52328580331,3.788645047,0,0,,ok,
16,off,medium,off,cuda,float32,45,H30O15,-31204.4433594,-693.432074653,6.48364559535,3.60469800735,0,0,,ok,
17,off,medium,off,cuda,float32,42,H28O14,-29126.8847656,-693.497256324,8.06607345934,3.76995485869,0,0,,ok,
18,off,medium,off,cuda,float32,33,H22O11,-22884.7460938,-693.477154356,7.37831760635,3.415402866,0,0,,ok,
19,off,medium,off,cuda,float32,48,H32O16,-33286.9492188,-693.478108724,9.39984510346,3.80122861374,0,0,,ok,
20,off,medium,off,cuda,float32,30,H20O10,-20806.9394531,-693.564648437,8.53839350611,3.59994216841,0,0,,ok,
21,off,medium,off,cuda,float32,33,H22O11,-22887.1210938,-693.549124053,9.54548910546,4.09467775527,0,0,,ok,
22,off,medium,off,cuda,float32,30,H20O10,-20805.9238281,-693.530794271,6.75409966518,3.83994324138,0,0,,ok,
23,off,medium,off,cuda,float32,33,H22O11,-22884.6699219,-693.474846117,10.0937678988,4.08185436721,0,0,,ok,
24,off,medium,off,cuda,float32,28,H19O9,-18741.7402344,-669.347865513,7.57464614155,3.82007868965,1,1,,ok,
25,off,medium,off,cuda,float32,28,H19O9,-18740.3710938,-669.298967634,8.4370877658,3.86293532624,1,1,,ok,
26,off,medium,off,cuda,float32,28,H19O9,-18740.9882812,-669.321010045,6.97532371362,3.84105150973,1,1,,ok,
