frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,mlip_charge_setting_e,predicted_charge_sum_e,status,error
0,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22881.4941406,-672.985121783,8.56485264747,3.84121783844,1,1,1.00000003725,ok,
1,polar1m,polar-1-m,polar,cuda,float32,39,H26O13,-27027.9296875,-693.023838141,6.66519322553,3.4594538907,0,0,-3.35276126862e-08,ok,
2,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29107.1347656,-693.027018229,10.3641775117,4.01928106759,0,0,3.72529029846e-09,ok,
3,polar1m,polar-1-m,polar,cuda,float32,51,H34O17,-35344.1679688,-693.022901348,8.28829338908,3.58830564432,0,0,1.11758708954e-08,ok,
4,polar1m,polar-1-m,polar,cuda,float32,54,H36O18,-37423.7460938,-693.032335069,10.4208843439,3.73662268619,0,0,-1.49011611938e-08,ok,
5,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29105.1328125,-692.979352679,8.57587217893,3.46576043456,0,0,0,ok,
6,polar1m,polar-1-m,polar,cuda,float32,45,H30O15,-31184.1503906,-692.981119792,9.50788752626,4.00254434744,0,0,1.86264514923e-09,ok,
7,polar1m,polar-1-m,polar,cuda,float32,39,H26O13,-27027.6210938,-693.015925481,5.5078180366,2.51621175179,0,0,6.70552253723e-08,ok,
8,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22867.7207031,-692.961233428,5.93100064926,2.86625923891,0,0,9.31322574615e-09,ok,
9,polar1m,polar-1-m,polar,cuda,float32,48,H32O16,-33263.7929688,-692.995686849,6.80986746675,3.30565178893,0,0,-2.421438694e-08,ok,
10,polar1m,polar-1-m,polar,cuda,float32,25,H17O8,-16644.3847656,-665.775390625,5.53889400582,3.38989149129,1,1,0.999999953434,ok,
11,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22882.1855469,-673.005457261,9.19823145438,3.95220539182,1,1,1.00000000931,ok,
12,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20804.6953125,-671.119203629,6.4070118932,3.45468576193,1,1,1.0000000149,ok,
13,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24962.1132812,-674.651710304,8.24785508351,3.88703543017,1,1,0.999999955297,ok,
14,polar1m,polar-1-m,polar,cuda,float32,54,H36O18,-37426.6835938,-693.086733218,15.1030875416,4.32728726586,0,0,5.21540641785e-08,ok,
15,polar1m,polar-1-m,polar,cuda,float32,54,H36O18,-37423.5273438,-693.028284144,8.64851752817,3.66260254891,0,0,-3.72529029846e-08,ok,
16,polar1m,polar-1-m,polar,cuda,float32,45,H30O15,-31185.1699219,-693.003776042,6.49040837632,3.58827452891,0,0,-4.09781932831e-08,ok,
17,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29107.7128906,-693.04078311,8.32102946793,3.70992512429,0,0,-1.11758708954e-08,ok,
18,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22868.7714844,-692.993075284,7.47347891242,3.51923583656,0,0,-7.45058059692e-08,ok,
19,polar1m,polar-1-m,polar,cuda,float32,48,H32O16,-33264.9882812,-693.020589193,9.2696902645,3.865603894,0,0,-1.30385160446e-08,ok,
20,polar1m,polar-1-m,polar,cuda,float32,30,H20O10,-20794.3203125,-693.144010417,8.85355446011,3.66121825241,0,0,-9.31322574615e-09,ok,
21,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22873.390625,-693.133049242,10.1118945712,4.18089344952,0,0,-2.421438694e-08,ok,
22,polar1m,polar-1-m,polar,cuda,float32,30,H20O10,-20793.4785156,-693.115950521,6.78515833249,3.92594392302,0,0,5.58793544769e-09,ok,
23,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22870.6640625,-693.050426136,10.3816137411,4.27688345638,0,0,3.16649675369e-08,ok,
24,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18721.5058594,-668.625209263,8.72302302321,3.99431098665,1,1,1.00000003166,ok,
25,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18720.7597656,-668.598563058,8.50505643061,3.88071248401,1,1,0.999999970198,ok,
26,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18721.2246094,-668.615164621,6.74118341833,3.60380784075,1,1,1.00000006706,ok,
27,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20801.2734375,-671.008820565,5.65807857436,3.11280499638,1,1,1.00000002049,ok,
28,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18721.8691406,-668.638183594,6.77182058743,3.31870713903,1,1,1.00000001118,ok,
29,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20800.515625,-670.984375,6.23902153091,3.31203075489,1,1,0.999999994412,ok,
30,polar1m,polar-1-m,polar,cuda,float32,36,H24O12,-24953.5742188,-693.15483941,16.5869587617,4.62170145556,0,0,-4.842877388e-08,ok,
31,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29110.4433594,-693.105794271,9.21245981057,3.81539421068,0,0,3.91155481339e-08,ok,
32,polar1m,polar-1-m,polar,cuda,float32,36,H24O12,-24947.9492188,-692.99858941,11.5011918152,3.9050832202,0,0,7.45058059692e-09,ok,
33,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22871.9667969,-693.089902936,7.54127190262,3.60524849418,0,0,3.16649675369e-08,ok,
34,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22874.2109375,-693.157907197,7.43300331791,3.35967959164,0,0,-5.58793544769e-09,ok,
35,polar1m,polar-1-m,polar,cuda,float32,39,H26O13,-27031.2675781,-693.10942508,6.99217003244,3.46197633566,0,0,1.11758708954e-08,ok,
36,polar1m,polar-1-m,polar,cuda,float32,45,H30O15,-31188.8867188,-693.086371528,11.9898193352,3.92011344009,0,0,-4.47034835815e-08,ok,
37,polar1m,polar-1-m,polar,cuda,float32,36,H24O12,-24951.3886719,-693.094129774,9.59686750726,3.55662471527,0,0,5.58793544769e-09,ok,
38,polar1m,polar-1-m,polar,cuda,float32,45,H30O15,-31187.8476562,-693.06328125,6.40376620525,3.21580158902,0,0,-5.58793544769e-09,ok,
39,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22868.7695312,-692.993016098,10.1701226395,4.13822086439,0,0,-5.58793544769e-09,ok,
40,polar1m,polar-1-m,polar,cuda,float32,62,H42O20,-41598.359375,-670.941280242,11.4064475783,3.96877930509,2,2,2.0000000149,ok,
41,polar1m,polar-1-m,polar,cuda,float32,61,H41O20,-41588.2265625,-681.774205943,10.7353441718,4.05313702691,1,1,0.999999895692,ok,
42,polar1m,polar-1-m,polar,cuda,float32,43,H29O14,-29113.671875,-677.062136628,10.214523194,4.58377491824,1,1,1.00000002794,ok,
43,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24957.8769531,-674.537214949,10.0586082525,4.21523809361,1,1,1.00000005588,ok,
44,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22877.5195312,-672.868221507,11.827719714,5.13287330448,1,1,1.00000003539,ok,
45,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27034.171875,-675.854296875,8.31175497137,3.89194855723,1,1,0.999999988824,ok,
46,polar1m,polar-1-m,polar,cuda,float32,54,H36O18,-37419.8164062,-692.959563079,7.80124470694,3.48140342881,0,0,2.98023223877e-08,ok,
47,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24955.9355469,-674.48474451,8.60277592581,4.14256238459,1,1,0.999999988824,ok,
48,polar1m,polar-1-m,polar,cuda,float32,46,H31O15,-31196.53125,-678.185461957,8.1620090255,3.84342159164,1,1,1.00000004657,ok,
49,polar1m,polar-1-m,polar,cuda,float32,56,H38O18,-37441.1757812,-668.592424665,6.80615898585,3.70895196473,2,2,2.00000002794,ok,
50,polar1m,polar-1-m,polar,cuda,float32,24,H16O8,-16634.9355469,-693.122314453,6.81526247366,3.12658728513,0,0,-5.02914190292e-08,ok,
51,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22871.3789062,-693.072088068,7.80063380735,4.03425440444,0,0,-9.31322574615e-09,ok,
52,polar1m,polar-1-m,polar,cuda,float32,45,H30O15,-31190.6875,-693.126388889,7.0779282768,3.1491430793,0,0,4.842877388e-08,ok,
53,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29110.140625,-693.09858631,8.59258438258,3.44185686436,0,0,1.26659870148e-07,ok,
54,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22870.4726562,-693.044625947,7.22237471007,3.80713807804,0,0,3.72529029846e-08,ok,
55,polar1m,polar-1-m,polar,cuda,float32,22,H15O7,-14563.8808594,-661.994584517,9.48108266822,3.61742629851,1,1,1.00000003166,ok,
56,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22880.2851562,-672.949563419,11.1086504309,4.58640738488,1,1,0.999999953434,ok,
57,polar1m,polar-1-m,polar,cuda,float32,49,H33O16,-33276.3125,-679.108418367,6.63944870379,3.39903215534,1,1,0.999999992549,ok,
58,polar1m,polar-1-m,polar,cuda,float32,46,H31O15,-31195.3222656,-678.159179688,7.8949450761,4.1821619427,1,1,0.999999973923,ok,
59,polar1m,polar-1-m,polar,cuda,float32,46,H31O15,-31194.6855469,-678.145337976,10.445966907,4.08189209984,1,1,1.00000000931,ok,
60,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27035.9003906,-675.897509766,10.1484624771,4.0913730449,1,1,1.00000007823,ok,
61,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22881.7304688,-672.99207261,6.92758048477,3.51731451081,1,1,1.00000002608,ok,
62,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20799.9023438,-670.964591734,17.9798771107,6.44331549148,1,1,0.999999990687,ok,
