frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,mlip_charge_setting_e,predicted_charge_sum_e,status,error
0,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22881.578125,-672.987591912,8.23691463451,3.80466824347,1,1,1.00000011921,ok,
1,polar1s,polar-1-s,polar,cuda,float32,39,H26O13,-27028.3066406,-693.033503606,6.72481085027,3.3523252768,0,0,-1.49011611938e-08,ok,
2,polar1s,polar-1-s,polar,cuda,float32,42,H28O14,-29107.6699219,-693.039760045,10.3634631306,3.91870358334,0,0,1.9371509552e-07,ok,
3,polar1s,polar-1-s,polar,cuda,float32,51,H34O17,-35344.8007812,-693.035309436,8.43501607873,3.53125118567,0,0,-7.45058059692e-08,ok,
4,polar1s,polar-1-s,polar,cuda,float32,54,H36O18,-37424.8320312,-693.052445023,10.3855956443,3.78377689959,0,0,1.63912773132e-07,ok,
5,polar1s,polar-1-s,polar,cuda,float32,42,H28O14,-29106.7304688,-693.017392113,8.73198175339,3.49696450793,0,0,2.98023223877e-08,ok,
6,polar1s,polar-1-s,polar,cuda,float32,45,H30O15,-31185.8886719,-693.019748264,9.5707316863,3.96868775587,0,0,1.04308128357e-07,ok,
7,polar1s,polar-1-s,polar,cuda,float32,39,H26O13,-27029.1816406,-693.055939503,5.35520152305,2.51082596028,0,0,-2.98023223877e-08,ok,
8,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22869.1621094,-693.004912405,5.84339138416,2.93649494214,0,0,0,ok,
9,polar1s,polar-1-s,polar,cuda,float32,48,H32O16,-33265.3945312,-693.029052734,6.84602125806,3.27687758529,0,0,1.9371509552e-07,ok,
10,polar1s,polar-1-s,polar,cuda,float32,25,H17O8,-16644.4492188,-665.77796875,5.68325119132,3.3891127196,1,1,1.0000000447,ok,
11,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22882.3476562,-673.010225184,9.19705261666,3.92615079478,1,1,0.999999970198,ok,
12,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20804.8183594,-671.123172883,6.38712752978,3.43708721964,1,1,1.00000008941,ok,
13,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24962.2597656,-674.655669341,8.20314277559,3.86331485303,1,1,0.999999776483,ok,
14,polar1s,polar-1-s,polar,cuda,float32,54,H36O18,-37426.9375,-693.091435185,15.0413239896,4.31201930116,0,0,-1.19209289551e-07,ok,
15,polar1s,polar-1-s,polar,cuda,float32,54,H36O18,-37423.8515625,-693.034288194,8.60893311024,3.66786451329,0,0,2.98023223877e-08,ok,
16,polar1s,polar-1-s,polar,cuda,float32,45,H30O15,-31185.8144531,-693.018098958,6.57949366743,3.6024462668,0,0,1.49011611938e-08,ok,
17,polar1s,polar-1-s,polar,cuda,float32,42,H28O14,-29108.4003906,-693.057152158,8.33841122381,3.72844801611,0,0,1.34110450745e-07,ok,
18,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22869.265625,-693.008049242,7.70642413712,3.49926625687,0,0,-1.04308128357e-07,ok,
19,polar1s,polar-1-s,polar,cuda,float32,48,H32O16,-33265.7070312,-693.035563151,9.24943105206,3.82623894735,0,0,-2.98023223877e-08,ok,
20,polar1s,polar-1-s,polar,cuda,float32,30,H20O10,-20794.3183594,-693.143945313,9.01812568313,3.66926709614,0,0,-8.94069671631e-08,ok,
21,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22873.3808594,-693.132753314,10.0751314529,4.16709018928,0,0,0,ok,
22,polar1s,polar-1-s,polar,cuda,float32,30,H20O10,-20793.5136719,-693.117122396,6.77521738317,3.88734191834,0,0,4.47034835815e-08,ok,
23,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22870.7265625,-693.052320076,10.2371081304,4.27389033792,0,0,-1.19209289551e-07,ok,
24,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18721.921875,-668.640066964,8.65235085999,3.90994597733,1,1,1.0000000447,ok,
25,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18721.0742188,-668.609793527,8.44217948638,3.88184310958,1,1,1,ok,
26,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18721.7851562,-668.635184152,6.94167885629,3.59926996839,1,1,1.00000011921,ok,
27,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20802.2402344,-671.04000756,5.66782557543,3.04402876521,1,1,0.99999986589,ok,
28,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18722.8671875,-668.673828125,6.59548180042,3.30463698516,1,1,0.999999970198,ok,
29,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20801.4765625,-671.015372984,6.30059547853,3.39349607496,1,1,0.999999821186,ok,
30,polar1s,polar-1-s,polar,cuda,float32,36,H24O12,-24953.5214844,-693.153374566,16.6422674869,4.62696079932,0,0,-5.96046447754e-08,ok,
31,polar1s,polar-1-s,polar,cuda,float32,42,H28O14,-29110.3984375,-693.104724702,8.96087338327,3.78169048439,0,0,5.96046447754e-08,ok,
32,polar1s,polar-1-s,polar,cuda,float32,36,H24O12,-24948.1835938,-693.005099826,10.9602275973,3.77300655243,0,0,-1.63912773132e-07,ok,
33,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22872.0292969,-693.091796875,7.51581339622,3.5786409086,0,0,-5.96046447754e-08,ok,
34,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22874.2792969,-693.159978693,7.20789293409,3.32191681392,0,0,2.98023223877e-08,ok,
35,polar1s,polar-1-s,polar,cuda,float32,39,H26O13,-27031.3125,-693.110576923,7.06475969949,3.45076188258,0,0,1.49011611938e-08,ok,
36,polar1s,polar-1-s,polar,cuda,float32,45,H30O15,-31188.9472656,-693.087717014,11.988724478,3.90028351977,0,0,7.45058059692e-08,ok,
37,polar1s,polar-1-s,polar,cuda,float32,36,H24O12,-24951.4960938,-693.097113715,9.43187947141,3.50951698767,0,0,-1.49011611938e-08,ok,
38,polar1s,polar-1-s,polar,cuda,float32,45,H30O15,-31187.9863281,-693.066362847,6.16766550879,3.25394350628,0,0,-1.49011611938e-07,ok,
39,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22868.5761719,-692.987156723,10.3414330439,4.17754111174,0,0,1.49011611938e-08,ok,
40,polar1s,polar-1-s,polar,cuda,float32,62,H42O20,-41598.8046875,-670.948462702,11.5899953098,3.9294571032,2,2,1.9999999553,ok,
41,polar1s,polar-1-s,polar,cuda,float32,61,H41O20,-41588.5195312,-681.779008709,10.047698246,3.99616714008,1,1,1.00000034273,ok,
42,polar1s,polar-1-s,polar,cuda,float32,43,H29O14,-29114.0585938,-677.071130087,9.68099657182,4.50500349866,1,1,0.999999925494,ok,
43,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24958.1738281,-674.545238598,10.0010574412,4.199662747,1,1,0.999999925494,ok,
44,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22878.0800781,-672.88470818,11.9787145385,5.15232531772,1,1,1,ok,
45,polar1s,polar-1-s,polar,cuda,float32,40,H27O13,-27034.9804688,-675.874511719,8.44976408927,4.04055712622,1,1,1.00000017881,ok,
46,polar1s,polar-1-s,polar,cuda,float32,54,H36O18,-37420.6015625,-692.974103009,8.25543487273,3.67701339007,0,0,-1.49011611938e-08,ok,
47,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24957.2695312,-674.520798142,8.04009247251,4.06697227267,1,1,1.00000010431,ok,
48,polar1s,polar-1-s,polar,cuda,float32,46,H31O15,-31197.8613281,-678.214376698,8.0087831736,3.80462981973,1,1,1.00000010431,ok,
49,polar1s,polar-1-s,polar,cuda,float32,56,H38O18,-37441.8632812,-668.604701451,6.5926027382,3.71841290074,2,2,2.00000007451,ok,
50,polar1s,polar-1-s,polar,cuda,float32,24,H16O8,-16634.96875,-693.123697917,6.40837590108,3.04809251996,0,0,-2.98023223877e-08,ok,
51,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22871.4257812,-693.073508523,7.72829799458,3.99533557483,0,0,4.47034835815e-08,ok,
52,polar1s,polar-1-s,polar,cuda,float32,45,H30O15,-31190.7792969,-693.128428819,7.17137663894,3.10379337873,0,0,-1.04308128357e-07,ok,
53,polar1s,polar-1-s,polar,cuda,float32,42,H28O14,-29110.2226562,-693.100539435,8.52176458551,3.45042196504,0,0,-1.49011611938e-08,ok,
54,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22870.5058594,-693.045632102,7.42206921009,3.85414017666,0,0,-1.49011611938e-08,ok,
55,polar1s,polar-1-s,polar,cuda,float32,22,H15O7,-14563.9423828,-661.997381037,9.72935011892,3.67317074304,1,1,0.999999895692,ok,
56,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22880.71875,-672.962316176,11.0674429767,4.51715236727,1,1,0.999999970198,ok,
57,polar1s,polar-1-s,polar,cuda,float32,49,H33O16,-33277.2070312,-679.126674107,6.64066063574,3.36875622737,1,1,0.999999880791,ok,
58,polar1s,polar-1-s,polar,cuda,float32,46,H31O15,-31196.2382812,-678.179093071,7.77454367162,4.13711803202,1,1,0.999999791384,ok,
59,polar1s,polar-1-s,polar,cuda,float32,46,H31O15,-31195.6386719,-678.166058084,10.7643833932,4.1049649898,1,1,0.999999850988,ok,
60,polar1s,polar-1-s,polar,cuda,float32,40,H27O13,-27036.2421875,-675.906054688,10.2601461625,4.10456116173,1,1,0.999999895692,ok,
61,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22882.0546875,-673.001608456,6.95317726076,3.37097910201,1,1,0.999999970198,ok,
62,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20800.0839844,-670.970451109,17.5595925767,6.38657838689,1,1,1.0000000298,ok,
