run_id,pressure_GPa,density_g_cm3,temperature_K,log_pressure_fraction,ammonia_water_ratio,python,slurm
P17p7828GPa_R0,17.7827941004,1.188,2150,0.25,0,expand/production_P17p7828GPa_R0.py,expand/production_P17p7828GPa_R0.sh
P17p7828GPa_R0p1,17.7827941004,1.188,2150,0.25,0.1,expand/production_P17p7828GPa_R0p1.py,expand/production_P17p7828GPa_R0p1.sh
P17p7828GPa_R0p2,17.7827941004,1.188,2150,0.25,0.2,expand/production_P17p7828GPa_R0p2.py,expand/production_P17p7828GPa_R0p2.sh
P17p7828GPa_R0p5,17.7827941004,1.188,2150,0.25,0.5,expand/production_P17p7828GPa_R0p5.py,expand/production_P17p7828GPa_R0p5.sh
P17p7828GPa_R1,17.7827941004,1.188,2150,0.25,1,expand/production_P17p7828GPa_R1.py,expand/production_P17p7828GPa_R1.sh
P31p6228GPa_R0,31.6227766017,2.032,2380,0.50,0,expand/production_P31p6228GPa_R0.py,expand/production_P31p6228GPa_R0.sh
P31p6228GPa_R0p1,31.6227766017,2.032,2380,0.50,0.1,expand/production_P31p6228GPa_R0p1.py,expand/production_P31p6228GPa_R0p1.sh
P31p6228GPa_R0p2,31.6227766017,2.032,2380,0.50,0.2,expand/production_P31p6228GPa_R0p2.py,expand/production_P31p6228GPa_R0p2.sh
P31p6228GPa_R0p5,31.6227766017,2.032,2380,0.50,0.5,expand/production_P31p6228GPa_R0p5.py,expand/production_P31p6228GPa_R0p5.sh
P31p6228GPa_R1,31.6227766017,2.032,2380,0.50,1,expand/production_P31p6228GPa_R1.py,expand/production_P31p6228GPa_R1.sh
P56p2341GPa_R0,56.234132519,2.876,2610,0.75,0,expand/production_P56p2341GPa_R0.py,expand/production_P56p2341GPa_R0.sh
P56p2341GPa_R0p1,56.234132519,2.876,2610,0.75,0.1,expand/production_P56p2341GPa_R0p1.py,expand/production_P56p2341GPa_R0p1.sh
P56p2341GPa_R0p2,56.234132519,2.876,2610,0.75,0.2,expand/production_P56p2341GPa_R0p2.py,expand/production_P56p2341GPa_R0p2.sh
P56p2341GPa_R0p5,56.234132519,2.876,2610,0.75,0.5,expand/production_P56p2341GPa_R0p5.py,expand/production_P56p2341GPa_R0p5.sh
P56p2341GPa_R1,56.234132519,2.876,2610,0.75,1,expand/production_P56p2341GPa_R1.py,expand/production_P56p2341GPa_R1.sh
