run_id,pressure_GPa,density_g_cm3,temperature_K,ammonia_water_ratio,python,slurm
P100GPa_R0,100,3.72,2840,0,expand/production_P100GPa_R0.py,expand/production_P100GPa_R0.sh
P100GPa_R0p1,100,3.72,2840,0.1,expand/production_P100GPa_R0p1.py,expand/production_P100GPa_R0p1.sh
P100GPa_R0p2,100,3.72,2840,0.2,expand/production_P100GPa_R0p2.py,expand/production_P100GPa_R0p2.sh
P100GPa_R0p5,100,3.72,2840,0.5,expand/production_P100GPa_R0p5.py,expand/production_P100GPa_R0p5.sh
P100GPa_R1,100,3.72,2840,1,expand/production_P100GPa_R1.py,expand/production_P100GPa_R1.sh
P10GPa_R0,10,0.344,1920,0,expand/production_P10GPa_R0.py,expand/production_P10GPa_R0.sh
P10GPa_R0p1,10,0.344,1920,0.1,expand/production_P10GPa_R0p1.py,expand/production_P10GPa_R0p1.sh
P10GPa_R0p2,10,0.344,1920,0.2,expand/production_P10GPa_R0p2.py,expand/production_P10GPa_R0p2.sh
P10GPa_R0p5,10,0.344,1920,0.5,expand/production_P10GPa_R0p5.py,expand/production_P10GPa_R0p5.sh
P10GPa_R1,10,0.344,1920,1,expand/production_P10GPa_R1.py,expand/production_P10GPa_R1.sh
P1GPa_R0,1,0.14,1240,0,expand/production_P1GPa_R0.py,expand/production_P1GPa_R0.sh
P1GPa_R0p1,1,0.14,1240,0.1,expand/production_P1GPa_R0p1.py,expand/production_P1GPa_R0p1.sh
P1GPa_R0p2,1,0.14,1240,0.2,expand/production_P1GPa_R0p2.py,expand/production_P1GPa_R0p2.sh
P1GPa_R0p5,1,0.14,1240,0.5,expand/production_P1GPa_R0p5.py,expand/production_P1GPa_R0p5.sh
P1GPa_R1,1,0.14,1240,1,expand/production_P1GPa_R1.py,expand/production_P1GPa_R1.sh
P0p11GPa_R0,0.11,0.0495,759,0,expand/production_P0p11GPa_R0.py,expand/production_P0p11GPa_R0.sh
P0p11GPa_R0p1,0.11,0.0495,759,0.1,expand/production_P0p11GPa_R0p1.py,expand/production_P0p11GPa_R0p1.sh
P0p11GPa_R0p2,0.11,0.0495,759,0.2,expand/production_P0p11GPa_R0p2.py,expand/production_P0p11GPa_R0p2.sh
P0p11GPa_R0p5,0.11,0.0495,759,0.5,expand/production_P0p11GPa_R0p5.py,expand/production_P0p11GPa_R0p5.sh
P0p11GPa_R1,0.11,0.0495,759,1,expand/production_P0p11GPa_R1.py,expand/production_P0p11GPa_R1.sh
