frame,stem,input,slurm,charge,multiplicity,n_atoms,sample_kind,source_condensed_frame,sample_order
0,C3_DFTprod_stopH2_0000,expand/C3_DFTprod_stopH2_0000.inp,expand/C3_DFTprod_stopH2_group_0000_0009.slurm,1,1,40,closest_approach,1251,
1,C3_DFTprod_stopH2_0001,expand/C3_DFTprod_stopH2_0001.inp,expand/C3_DFTprod_stopH2_group_0000_0009.slurm,-2,1,39,closest_approach,1251,
2,C3_DFTprod_stopH2_0002,expand/C3_DFTprod_stopH2_0002.inp,expand/C3_DFTprod_stopH2_group_0000_0009.slurm,0,1,38,closest_approach,1251,
3,C3_DFTprod_stopH2_0003,expand/C3_DFTprod_stopH2_0003.inp,expand/C3_DFTprod_stopH2_group_0000_0009.slurm,3,1,32,closest_approach,1251,
4,C3_DFTprod_stopH2_0004,expand/C3_DFTprod_stopH2_0004.inp,expand/C3_DFTprod_stopH2_group_0000_0009.slurm,-2,1,31,closest_approach,1251,
5,C3_DFTprod_stopH2_0005,expand/C3_DFTprod_stopH2_0005.inp,expand/C3_DFTprod_stopH2_group_0000_0009.slurm,3,1,33,closest_approach,1251,
6,C3_DFTprod_stopH2_0006,expand/C3_DFTprod_stopH2_0006.inp,expand/C3_DFTprod_stopH2_group_0000_0009.slurm,2,1,28,closest_approach,1250,
7,C3_DFTprod_stopH2_0007,expand/C3_DFTprod_stopH2_0007.inp,expand/C3_DFTprod_stopH2_group_0000_0009.slurm,-1,1,39,closest_approach,1250,
8,C3_DFTprod_stopH2_0008,expand/C3_DFTprod_stopH2_0008.inp,expand/C3_DFTprod_stopH2_group_0000_0009.slurm,-2,1,20,closest_approach,1250,
9,C3_DFTprod_stopH2_0009,expand/C3_DFTprod_stopH2_0009.inp,expand/C3_DFTprod_stopH2_group_0000_0009.slurm,2,1,32,closest_approach,1250,
10,C3_DFTprod_stopH2_0010,expand/C3_DFTprod_stopH2_0010.inp,expand/C3_DFTprod_stopH2_group_0010_0019.slurm,3,1,54,closest_approach,1250,
11,C3_DFTprod_stopH2_0011,expand/C3_DFTprod_stopH2_0011.inp,expand/C3_DFTprod_stopH2_group_0010_0019.slurm,1,1,39,closest_approach,1250,
12,C3_DFTprod_stopH2_0012,expand/C3_DFTprod_stopH2_0012.inp,expand/C3_DFTprod_stopH2_group_0010_0019.slurm,1,1,35,closest_approach,1249,
13,C3_DFTprod_stopH2_0013,expand/C3_DFTprod_stopH2_0013.inp,expand/C3_DFTprod_stopH2_group_0010_0019.slurm,1,1,49,closest_approach,1249,
14,C3_DFTprod_stopH2_0014,expand/C3_DFTprod_stopH2_0014.inp,expand/C3_DFTprod_stopH2_group_0010_0019.slurm,1,1,42,closest_approach,1249,
15,C3_DFTprod_stopH2_0015,expand/C3_DFTprod_stopH2_0015.inp,expand/C3_DFTprod_stopH2_group_0010_0019.slurm,-1,1,34,closest_approach,1249,
16,C3_DFTprod_stopH2_0016,expand/C3_DFTprod_stopH2_0016.inp,expand/C3_DFTprod_stopH2_group_0010_0019.slurm,1,1,28,closest_approach,1249,
17,C3_DFTprod_stopH2_0017,expand/C3_DFTprod_stopH2_0017.inp,expand/C3_DFTprod_stopH2_group_0010_0019.slurm,4,1,40,closest_approach,1249,
18,C3_DFTprod_stopH2_0018,expand/C3_DFTprod_stopH2_0018.inp,expand/C3_DFTprod_stopH2_group_0010_0019.slurm,0,1,26,closest_approach,1248,
19,C3_DFTprod_stopH2_0019,expand/C3_DFTprod_stopH2_0019.inp,expand/C3_DFTprod_stopH2_group_0010_0019.slurm,4,1,81,closest_approach,1248,
20,C3_DFTprod_stopH2_0020,expand/C3_DFTprod_stopH2_0020.inp,expand/C3_DFTprod_stopH2_group_0020_0029.slurm,1,1,30,closest_approach,1248,
21,C3_DFTprod_stopH2_0021,expand/C3_DFTprod_stopH2_0021.inp,expand/C3_DFTprod_stopH2_group_0020_0029.slurm,-1,1,26,closest_approach,1247,
22,C3_DFTprod_stopH2_0022,expand/C3_DFTprod_stopH2_0022.inp,expand/C3_DFTprod_stopH2_group_0020_0029.slurm,-1,1,58,closest_approach,1247,
23,C3_DFTprod_stopH2_0023,expand/C3_DFTprod_stopH2_0023.inp,expand/C3_DFTprod_stopH2_group_0020_0029.slurm,0,1,53,closest_approach,1247,
24,C3_DFTprod_stopH2_0024,expand/C3_DFTprod_stopH2_0024.inp,expand/C3_DFTprod_stopH2_group_0020_0029.slurm,-2,1,36,closest_approach,1247,
25,C3_DFTprod_stopH2_0025,expand/C3_DFTprod_stopH2_0025.inp,expand/C3_DFTprod_stopH2_group_0020_0029.slurm,-1,1,49,closest_approach,1247,
26,C3_DFTprod_stopH2_0026,expand/C3_DFTprod_stopH2_0026.inp,expand/C3_DFTprod_stopH2_group_0020_0029.slurm,0,1,30,closest_approach,1247,
27,C3_DFTprod_stopH2_0027,expand/C3_DFTprod_stopH2_0027.inp,expand/C3_DFTprod_stopH2_group_0020_0029.slurm,2,1,32,closest_approach,1247,
28,C3_DFTprod_stopH2_0028,expand/C3_DFTprod_stopH2_0028.inp,expand/C3_DFTprod_stopH2_group_0020_0029.slurm,-1,1,31,closest_approach,1246,
29,C3_DFTprod_stopH2_0029,expand/C3_DFTprod_stopH2_0029.inp,expand/C3_DFTprod_stopH2_group_0020_0029.slurm,1,1,39,closest_approach,1246,
30,C3_DFTprod_stopH2_0030,expand/C3_DFTprod_stopH2_0030.inp,expand/C3_DFTprod_stopH2_group_0030_0039.slurm,2,1,42,closest_approach,1246,
31,C3_DFTprod_stopH2_0031,expand/C3_DFTprod_stopH2_0031.inp,expand/C3_DFTprod_stopH2_group_0030_0039.slurm,6,1,63,closest_approach,1246,
32,C3_DFTprod_stopH2_0032,expand/C3_DFTprod_stopH2_0032.inp,expand/C3_DFTprod_stopH2_group_0030_0039.slurm,4,1,53,closest_approach,1245,
33,C3_DFTprod_stopH2_0033,expand/C3_DFTprod_stopH2_0033.inp,expand/C3_DFTprod_stopH2_group_0030_0039.slurm,3,1,43,closest_approach,1245,
34,C3_DFTprod_stopH2_0034,expand/C3_DFTprod_stopH2_0034.inp,expand/C3_DFTprod_stopH2_group_0030_0039.slurm,2,1,48,closest_approach,1245,
35,C3_DFTprod_stopH2_0035,expand/C3_DFTprod_stopH2_0035.inp,expand/C3_DFTprod_stopH2_group_0030_0039.slurm,1,1,44,closest_approach,1245,
36,C3_DFTprod_stopH2_0036,expand/C3_DFTprod_stopH2_0036.inp,expand/C3_DFTprod_stopH2_group_0030_0039.slurm,0,1,33,closest_approach,1245,
37,C3_DFTprod_stopH2_0037,expand/C3_DFTprod_stopH2_0037.inp,expand/C3_DFTprod_stopH2_group_0030_0039.slurm,2,1,40,closest_approach,1245,
38,C3_DFTprod_stopH2_0038,expand/C3_DFTprod_stopH2_0038.inp,expand/C3_DFTprod_stopH2_group_0030_0039.slurm,4,1,57,closest_approach,1244,
39,C3_DFTprod_stopH2_0039,expand/C3_DFTprod_stopH2_0039.inp,expand/C3_DFTprod_stopH2_group_0030_0039.slurm,4,1,51,closest_approach,1244,
40,C3_DFTprod_stopH2_0040,expand/C3_DFTprod_stopH2_0040.inp,expand/C3_DFTprod_stopH2_group_0040_0049.slurm,6,1,86,closest_approach,1244,
