frame,stem,input,slurm,charge,multiplicity,n_atoms,sample_kind,source_condensed_frame,sample_order
0,C_DFTprod_cutcluster_0000,expand/C_DFTprod_cutcluster_0000.inp,expand/C_DFTprod_cutcluster_group_0000_0009.slurm,0,1,27,random,662,100
1,C_DFTprod_cutcluster_0001,expand/C_DFTprod_cutcluster_0001.inp,expand/C_DFTprod_cutcluster_group_0000_0009.slurm,0,1,27,random,815,101
2,C_DFTprod_cutcluster_0002,expand/C_DFTprod_cutcluster_0002.inp,expand/C_DFTprod_cutcluster_group_0000_0009.slurm,0,1,27,random,926,102
3,C_DFTprod_cutcluster_0003,expand/C_DFTprod_cutcluster_0003.inp,expand/C_DFTprod_cutcluster_group_0000_0009.slurm,0,1,27,random,1012,103
4,C_DFTprod_cutcluster_0004,expand/C_DFTprod_cutcluster_0004.inp,expand/C_DFTprod_cutcluster_group_0000_0009.slurm,0,1,27,random,691,104
5,C_DFTprod_cutcluster_0005,expand/C_DFTprod_cutcluster_0005.inp,expand/C_DFTprod_cutcluster_group_0000_0009.slurm,0,1,27,random,805,105
6,C_DFTprod_cutcluster_0006,expand/C_DFTprod_cutcluster_0006.inp,expand/C_DFTprod_cutcluster_group_0000_0009.slurm,0,1,27,random,758,106
7,C_DFTprod_cutcluster_0007,expand/C_DFTprod_cutcluster_0007.inp,expand/C_DFTprod_cutcluster_group_0000_0009.slurm,0,1,27,random,779,107
8,C_DFTprod_cutcluster_0008,expand/C_DFTprod_cutcluster_0008.inp,expand/C_DFTprod_cutcluster_group_0000_0009.slurm,0,1,27,random,715,108
9,C_DFTprod_cutcluster_0009,expand/C_DFTprod_cutcluster_0009.inp,expand/C_DFTprod_cutcluster_group_0000_0009.slurm,0,1,27,random,935,109
10,C_DFTprod_cutcluster_0010,expand/C_DFTprod_cutcluster_0010.inp,expand/C_DFTprod_cutcluster_group_0010_0019.slurm,0,1,27,random,965,110
11,C_DFTprod_cutcluster_0011,expand/C_DFTprod_cutcluster_0011.inp,expand/C_DFTprod_cutcluster_group_0010_0019.slurm,0,1,27,random,957,111
12,C_DFTprod_cutcluster_0012,expand/C_DFTprod_cutcluster_0012.inp,expand/C_DFTprod_cutcluster_group_0010_0019.slurm,0,1,27,random,1105,112
13,C_DFTprod_cutcluster_0013,expand/C_DFTprod_cutcluster_0013.inp,expand/C_DFTprod_cutcluster_group_0010_0019.slurm,0,1,27,random,729,113
14,C_DFTprod_cutcluster_0014,expand/C_DFTprod_cutcluster_0014.inp,expand/C_DFTprod_cutcluster_group_0010_0019.slurm,0,1,27,random,915,114
15,C_DFTprod_cutcluster_0015,expand/C_DFTprod_cutcluster_0015.inp,expand/C_DFTprod_cutcluster_group_0010_0019.slurm,0,1,27,random,663,115
16,C_DFTprod_cutcluster_0016,expand/C_DFTprod_cutcluster_0016.inp,expand/C_DFTprod_cutcluster_group_0010_0019.slurm,0,1,27,random,1067,116
17,C_DFTprod_cutcluster_0017,expand/C_DFTprod_cutcluster_0017.inp,expand/C_DFTprod_cutcluster_group_0010_0019.slurm,0,1,27,random,683,117
18,C_DFTprod_cutcluster_0018,expand/C_DFTprod_cutcluster_0018.inp,expand/C_DFTprod_cutcluster_group_0010_0019.slurm,0,1,27,random,936,118
19,C_DFTprod_cutcluster_0019,expand/C_DFTprod_cutcluster_0019.inp,expand/C_DFTprod_cutcluster_group_0010_0019.slurm,0,1,27,random,684,119
20,C_DFTprod_cutcluster_0020,expand/C_DFTprod_cutcluster_0020.inp,expand/C_DFTprod_cutcluster_group_0020_0029.slurm,0,1,27,random,1074,120
21,C_DFTprod_cutcluster_0021,expand/C_DFTprod_cutcluster_0021.inp,expand/C_DFTprod_cutcluster_group_0020_0029.slurm,0,1,27,random,902,121
22,C_DFTprod_cutcluster_0022,expand/C_DFTprod_cutcluster_0022.inp,expand/C_DFTprod_cutcluster_group_0020_0029.slurm,0,1,27,random,675,122
23,C_DFTprod_cutcluster_0023,expand/C_DFTprod_cutcluster_0023.inp,expand/C_DFTprod_cutcluster_group_0020_0029.slurm,0,1,27,random,1111,123
24,C_DFTprod_cutcluster_0024,expand/C_DFTprod_cutcluster_0024.inp,expand/C_DFTprod_cutcluster_group_0020_0029.slurm,0,1,27,random,857,124
25,C_DFTprod_cutcluster_0025,expand/C_DFTprod_cutcluster_0025.inp,expand/C_DFTprod_cutcluster_group_0020_0029.slurm,0,1,27,random,1115,125
26,C_DFTprod_cutcluster_0026,expand/C_DFTprod_cutcluster_0026.inp,expand/C_DFTprod_cutcluster_group_0020_0029.slurm,0,1,27,random,821,126
27,C_DFTprod_cutcluster_0027,expand/C_DFTprod_cutcluster_0027.inp,expand/C_DFTprod_cutcluster_group_0020_0029.slurm,0,1,27,random,952,127
28,C_DFTprod_cutcluster_0028,expand/C_DFTprod_cutcluster_0028.inp,expand/C_DFTprod_cutcluster_group_0020_0029.slurm,0,1,27,random,769,128
29,C_DFTprod_cutcluster_0029,expand/C_DFTprod_cutcluster_0029.inp,expand/C_DFTprod_cutcluster_group_0020_0029.slurm,0,1,27,random,927,129
30,C_DFTprod_cutcluster_0030,expand/C_DFTprod_cutcluster_0030.inp,expand/C_DFTprod_cutcluster_group_0030_0039.slurm,0,1,27,random,765,130
31,C_DFTprod_cutcluster_0031,expand/C_DFTprod_cutcluster_0031.inp,expand/C_DFTprod_cutcluster_group_0030_0039.slurm,0,1,27,random,1079,131
32,C_DFTprod_cutcluster_0032,expand/C_DFTprod_cutcluster_0032.inp,expand/C_DFTprod_cutcluster_group_0030_0039.slurm,0,1,27,random,725,132
33,C_DFTprod_cutcluster_0033,expand/C_DFTprod_cutcluster_0033.inp,expand/C_DFTprod_cutcluster_group_0030_0039.slurm,0,1,27,random,762,133
34,C_DFTprod_cutcluster_0034,expand/C_DFTprod_cutcluster_0034.inp,expand/C_DFTprod_cutcluster_group_0030_0039.slurm,0,1,27,random,843,134
35,C_DFTprod_cutcluster_0035,expand/C_DFTprod_cutcluster_0035.inp,expand/C_DFTprod_cutcluster_group_0030_0039.slurm,0,1,27,random,754,135
36,C_DFTprod_cutcluster_0036,expand/C_DFTprod_cutcluster_0036.inp,expand/C_DFTprod_cutcluster_group_0030_0039.slurm,0,1,27,random,925,136
37,C_DFTprod_cutcluster_0037,expand/C_DFTprod_cutcluster_0037.inp,expand/C_DFTprod_cutcluster_group_0030_0039.slurm,0,1,27,random,743,137
38,C_DFTprod_cutcluster_0038,expand/C_DFTprod_cutcluster_0038.inp,expand/C_DFTprod_cutcluster_group_0030_0039.slurm,0,1,27,random,711,138
39,C_DFTprod_cutcluster_0039,expand/C_DFTprod_cutcluster_0039.inp,expand/C_DFTprod_cutcluster_group_0030_0039.slurm,0,1,27,random,1101,139
40,C_DFTprod_cutcluster_0040,expand/C_DFTprod_cutcluster_0040.inp,expand/C_DFTprod_cutcluster_group_0040_0049.slurm,0,1,27,random,1057,140
41,C_DFTprod_cutcluster_0041,expand/C_DFTprod_cutcluster_0041.inp,expand/C_DFTprod_cutcluster_group_0040_0049.slurm,0,1,27,random,894,141
42,C_DFTprod_cutcluster_0042,expand/C_DFTprod_cutcluster_0042.inp,expand/C_DFTprod_cutcluster_group_0040_0049.slurm,0,1,27,random,708,142
43,C_DFTprod_cutcluster_0043,expand/C_DFTprod_cutcluster_0043.inp,expand/C_DFTprod_cutcluster_group_0040_0049.slurm,0,1,27,random,841,143
44,C_DFTprod_cutcluster_0044,expand/C_DFTprod_cutcluster_0044.inp,expand/C_DFTprod_cutcluster_group_0040_0049.slurm,0,1,27,random,818,144
45,C_DFTprod_cutcluster_0045,expand/C_DFTprod_cutcluster_0045.inp,expand/C_DFTprod_cutcluster_group_0040_0049.slurm,0,1,27,random,971,145
46,C_DFTprod_cutcluster_0046,expand/C_DFTprod_cutcluster_0046.inp,expand/C_DFTprod_cutcluster_group_0040_0049.slurm,0,1,27,random,1120,146
47,C_DFTprod_cutcluster_0047,expand/C_DFTprod_cutcluster_0047.inp,expand/C_DFTprod_cutcluster_group_0040_0049.slurm,0,1,27,random,1123,147
48,C_DFTprod_cutcluster_0048,expand/C_DFTprod_cutcluster_0048.inp,expand/C_DFTprod_cutcluster_group_0040_0049.slurm,0,1,27,random,699,148
49,C_DFTprod_cutcluster_0049,expand/C_DFTprod_cutcluster_0049.inp,expand/C_DFTprod_cutcluster_group_0040_0049.slurm,0,1,27,random,865,149
50,C_DFTprod_cutcluster_0050,expand/C_DFTprod_cutcluster_0050.inp,expand/C_DFTprod_cutcluster_group_0050_0059.slurm,0,1,27,random,782,150
51,C_DFTprod_cutcluster_0051,expand/C_DFTprod_cutcluster_0051.inp,expand/C_DFTprod_cutcluster_group_0050_0059.slurm,0,1,27,random,1076,151
52,C_DFTprod_cutcluster_0052,expand/C_DFTprod_cutcluster_0052.inp,expand/C_DFTprod_cutcluster_group_0050_0059.slurm,0,1,27,random,1080,152
53,C_DFTprod_cutcluster_0053,expand/C_DFTprod_cutcluster_0053.inp,expand/C_DFTprod_cutcluster_group_0050_0059.slurm,0,1,27,random,1055,153
54,C_DFTprod_cutcluster_0054,expand/C_DFTprod_cutcluster_0054.inp,expand/C_DFTprod_cutcluster_group_0050_0059.slurm,0,1,27,random,1122,154
55,C_DFTprod_cutcluster_0055,expand/C_DFTprod_cutcluster_0055.inp,expand/C_DFTprod_cutcluster_group_0050_0059.slurm,0,1,27,random,968,155
56,C_DFTprod_cutcluster_0056,expand/C_DFTprod_cutcluster_0056.inp,expand/C_DFTprod_cutcluster_group_0050_0059.slurm,0,1,27,random,1086,156
57,C_DFTprod_cutcluster_0057,expand/C_DFTprod_cutcluster_0057.inp,expand/C_DFTprod_cutcluster_group_0050_0059.slurm,0,1,27,random,992,157
58,C_DFTprod_cutcluster_0058,expand/C_DFTprod_cutcluster_0058.inp,expand/C_DFTprod_cutcluster_group_0050_0059.slurm,0,1,27,random,846,158
59,C_DFTprod_cutcluster_0059,expand/C_DFTprod_cutcluster_0059.inp,expand/C_DFTprod_cutcluster_group_0050_0059.slurm,0,1,27,random,671,159
60,C_DFTprod_cutcluster_0060,expand/C_DFTprod_cutcluster_0060.inp,expand/C_DFTprod_cutcluster_group_0060_0069.slurm,0,1,27,random,982,160
