frame_index_0based,source_file,charge,natoms,component_count,largest_component_atoms,minimum_interatomic_distance_A,molecular_composition
0,C_DFTprod_cutcluster_0000.out,0,27,9,3,0.9345726266641878,H2O(9)
1,C_DFTprod_cutcluster_0001.out,0,27,9,3,0.9405826274022915,H2O(9)
2,C_DFTprod_cutcluster_0002.out,0,27,9,3,0.9365691771294842,H2O(9)
3,C_DFTprod_cutcluster_0003.out,0,27,9,3,0.9166079836025879,H2O(9)
4,C_DFTprod_cutcluster_0004.out,0,27,9,3,0.9237416136691037,H2O(9)
5,C_DFTprod_cutcluster_0005.out,0,27,9,3,0.9205125493207572,H2O(9)
6,C_DFTprod_cutcluster_0006.out,0,27,9,3,0.9490328318799088,H2O(9)
7,C_DFTprod_cutcluster_0007.out,0,27,9,3,0.9112708210784556,H2O(9)
8,C_DFTprod_cutcluster_0008.out,0,27,9,3,0.9385900670889293,H2O(9)
9,C_DFTprod_cutcluster_0009.out,0,27,9,3,0.9369956229951133,H2O(9)
10,C_DFTprod_cutcluster_0010.out,0,27,9,3,0.9164645228076209,H2O(9)
11,C_DFTprod_cutcluster_0011.out,0,27,9,3,0.8899039563716976,H2O(9)
12,C_DFTprod_cutcluster_0012.out,0,27,9,3,0.9357071493742048,H2O(9)
13,C_DFTprod_cutcluster_0013.out,0,27,9,3,0.9441130637789095,H2O(9)
14,C_DFTprod_cutcluster_0014.out,0,27,9,3,0.9421813791441651,H2O(9)
15,C_DFTprod_cutcluster_0015.out,0,27,9,3,0.9328397395297863,H2O(9)
16,C_DFTprod_cutcluster_0016.out,0,27,9,3,0.9343668077982019,H2O(9)
17,C_DFTprod_cutcluster_0017.out,0,27,9,3,0.9310939397021125,H2O(9)
18,C_DFTprod_cutcluster_0018.out,0,27,9,3,0.9267052867298218,H2O(9)
19,C_DFTprod_cutcluster_0019.out,0,27,9,3,0.9393041665887578,H2O(9)
20,C_DFTprod_cutcluster_0020.out,0,27,9,3,0.9094085550174903,H2O(9)
21,C_DFTprod_cutcluster_0021.out,0,27,9,3,0.9317848205921804,H2O(9)
22,C_DFTprod_cutcluster_0022.out,0,27,9,3,0.9294073639034711,H2O(9)
23,C_DFTprod_cutcluster_0023.out,0,27,9,3,0.9194622294461049,H2O(9)
24,C_DFTprod_cutcluster_0024.out,0,27,9,3,0.9556598834261062,H2O(9)
25,C_DFTprod_cutcluster_0025.out,0,27,9,3,0.9170499465972393,H2O(9)
26,C_DFTprod_cutcluster_0026.out,0,27,9,3,0.9265345075915966,H2O(9)
27,C_DFTprod_cutcluster_0027.out,0,27,9,3,0.9067411150890866,H2O(9)
28,C_DFTprod_cutcluster_0028.out,0,27,9,3,0.9145639325957473,H2O(9)
29,C_DFTprod_cutcluster_0029.out,0,27,9,3,0.919209982228217,H2O(9)
30,C_DFTprod_cutcluster_0030.out,0,27,9,3,0.9415135403519173,H2O(9)
31,C_DFTprod_cutcluster_0031.out,0,27,9,3,0.9223320047000427,H2O(9)
32,C_DFTprod_cutcluster_0032.out,0,27,9,3,0.9246385615579739,H2O(9)
33,C_DFTprod_cutcluster_0033.out,0,27,9,3,0.9403591029819397,H2O(9)
34,C_DFTprod_cutcluster_0034.out,0,27,9,3,0.9225918025633011,H2O(9)
35,C_DFTprod_cutcluster_0035.out,0,27,9,3,0.9066935271203825,H2O(9)
36,C_DFTprod_cutcluster_0036.out,0,27,9,3,0.9366048195012662,H2O(9)
37,C_DFTprod_cutcluster_0037.out,0,27,9,3,0.9185068084674161,H2O(9)
38,C_DFTprod_cutcluster_0038.out,0,27,9,3,0.9004007631194024,H2O(9)
39,C_DFTprod_cutcluster_0039.out,0,27,9,3,0.9346854481861795,H2O(9)
40,C_DFTprod_cutcluster_0040.out,0,27,9,3,0.9297092577886926,H2O(9)
41,C_DFTprod_cutcluster_0041.out,0,27,9,3,0.9358779596234742,H2O(9)
42,C_DFTprod_cutcluster_0042.out,0,27,9,3,0.9236799548902211,H2O(9)
43,C_DFTprod_cutcluster_0043.out,0,27,9,3,0.9372873620896646,H2O(9)
44,C_DFTprod_cutcluster_0044.out,0,27,9,3,0.951180548210485,H2O(9)
45,C_DFTprod_cutcluster_0045.out,0,27,9,3,0.9168331527677218,H2O(9)
46,C_DFTprod_cutcluster_0046.out,0,27,9,3,0.9087174904017205,H2O(9)
47,C_DFTprod_cutcluster_0047.out,0,27,9,3,0.9332555306999264,H2O(9)
48,C_DFTprod_cutcluster_0048.out,0,27,9,3,0.9465368506555888,H2O(9)
49,C_DFTprod_cutcluster_0049.out,0,27,9,3,0.9257762822782845,H2O(9)
50,C_DFTprod_cutcluster_0050.out,0,27,9,3,0.942448762254479,H2O(9)
51,C_DFTprod_cutcluster_0051.out,0,27,9,3,0.91436244153399,H2O(9)
