P(GPa)	ρ(⁠⁠)	T(K)	Z	T(K)	Z	T(K)	Z	Z-material
1.0 × 10−4	4.49 × 10−4	76	0.29	76	0.29	76	0.29	
1.1 × 10−3	2.81 × 10−3	136	0.23	156	0.32	179	0.40	
1.0 × 10−2	1.20 × 10−2	269	0.18	269	0.18	398	0.44	
0.11	4.95 × 10−2	537	0.20	481	0.13	759	0.40	Envelope
1.0	0.140	1.02 × 103	0.19	854	0.12	1.24 × 103	0.26	
10	0.344	2.05 × 103	0.23	1.50 × 103	0.17	1.92 × 103	0.22	
15	0.405	2.34 × 103	0.25	1.64 × 103	0.19	2.07 × 103	0.23	
15	1.19	2.34 × 103	0.92	1.64 × 103	0.89	2.07 × 103	0.91	
1.0 × 102	3.72	5.52 × 103	0.90	1.92 × 103	0.88	2.84 × 103	0.89	Shell
5.5 × 102	4.07	6.08 × 103	0.87	2.20 × 103	0.82	5.46 × 103	0.86	
5.5 × 102	9.08	6.08 × 103	0.92	2.20 × 103	0.90	5.46 × 103	0.86	Core
8.2 × 102	10.3	6.08 × 103	0.91	2.21 × 103	0.90	7.16 × 103	0.91	
