# cluster_id frame_index natoms formula center_formula selected_molecule_ids
001 1 90 H60O30 H2O 3,6,12,13,14,15,17,18,30,31,32,34,43,46,47,60,62,70,75,78,79,80,81,82
002 2 87 H58O29 H2O 3,6,11,12,13,14,16,29,31,40,41,42,43,45,47,49,60,61,65,67,69,76,84,85,86,87
003 3 87 H58O29 H4O2 5,6,8,12,13,15,17,30,31,33,37,41,44,46,48,59,62,67,68,69,70,77,85
004 4 75 H50O25 H2O 3,6,12,13,14,15,27,28,29,30,38,40,41,43,47,56,59,62,64,65,72,77,79
005 5 75 H50O25 H2O 3,6,12,13,15,17,29,30,31,33,39,41,42,44,47,49,58,62,63,71,76,78,80
006 6 78 H52O26 H2O 3,6,12,13,15,17,18,30,31,32,34,42,44,47,51,53,60,63,67,68,76,84,86,87,88
007 7 87 H58O29 H2O 3,6,12,13,14,15,17,27,28,29,31,41,42,44,46,48,54,56,59,61,62,63,75,77,78,79
008 8 93 H62O31 H2O 1,5,6,10,12,14,15,29,31,33,34,42,43,45,47,55,57,58,61,62,65,72,76
009 9 81 H54O27 H4O2 5,6,12,14,15,27,28,30,35,40,51,54,56,57,58,66,75
010 10 87 H58O29 H2O 1,6,11,12,13,16,27,28,29,30,37,38,40,43,45,53,54,59,61,62,72,74,77,78,79,80
011 11 93 H62O31 H2O 6,8,9,12,13,14,15,18,29,30,31,39,40,48,56,60,62,66,70,71,72
012 12 75 H50O25 H2O 5,11,12,13,14,17,28,29,30,40,42,45,51,55,57,65,67,70,75,77,78,79
013 13 78 H52O26 H2O 5,6,12,13,14,15,18,28,29,30,35,43,49,56,58,59,63,66,69,78,79,80
014 14 78 H52O26 H2O 6,11,12,13,14,17,27,28,29,35,38,42,47,53,54,57,61,62,64,71,76,78,79,80
015 15 72 H48O24 H2O 4,6,12,13,15,18,27,28,29,32,36,40,41,44,50,56,59,62,73,74,76,77
016 16 75 H50O25 H2O 4,6,12,15,18,24,29,30,31,36,40,41,48,55,58,62,65,69,72,77,78,80
017 17 69 H46O23 H8O4 5,12,15,25,28,30,32,38,41,43,47,54,60,61,65,70,77
018 18 81 H54O27 H2O 4,6,7,8,12,13,15,17,18,29,30,32,39,41,51,56,66,74,75,79,80,81
019 19 75 H50O25 H2O 4,6,12,13,15,16,17,26,28,29,31,33,37,38,42,56,58,63,66,70,74,78,79,82
020 20 84 H56O28 H2O 1,4,6,11,12,14,16,25,27,28,30,32,35,36,40,47,55,57,60,65,69,74,78,79,82,83
021 21 92 H61O31 H2O 6,8,12,13,15,17,25,29,31,38,42,47,49,51,53,60,62,63,65,68,69,70,74,78,80,85,87,88
022 22 84 H56O28 H4O2 5,6,8,12,13,15,17,24,28,29,31,36,39,44,48,50,57,58,60,63,64,65,70,74,82,83
023 23 91 H61O30 H2O 5,6,8,12,15,16,18,24,27,28,29,31,36,40,42,43,58,59,60,61,64,80,82,83,84
024 24 94 H63O31 H2O 4,7,11,14,16,23,25,26,27,29,32,35,36,38,39,51,52,55,58,61,65,69,71
025 25 87 H58O29 H2O 6,8,10,12,13,17,27,28,29,30,31,32,39,41,44,50,52,58,63,64,71,74,75
026 26 72 H48O24 H2O 8,10,12,13,18,27,28,29,30,31,32,40,44,56,58,63,64,70,72,74,75,76
027 27 75 H50O25 H2O 1,4,6,8,12,13,15,18,19,24,28,29,31,37,40,43,54,56,59,65,74,75
028 28 87 H58O29 H2O 1,4,6,8,12,13,15,19,26,30,32,35,39,43,45,52,62,65,67,70,79,80
029 29 81 H54O27 H2O 4,6,8,12,13,15,17,19,27,30,31,32,34,37,41,44,49,54,62,64,68,69,73,78,84,86,87
030 30 88 H59O29 H2O 1,4,6,8,12,13,15,17,19,27,29,30,31,34,37,38,45,47,49,67,77,80
031 31 93 H62O31 H2O 4,7,9,11,12,13,14,18,25,28,30,32,33,34,37,42,43,44,46,52,68,69,72,73,76,77,81,83,84
032 32 81 H54O27 H2O 1,4,6,7,8,12,13,16,30,31,33,35,40,43,45,48,51,58,61,65,66,82,84,85
033 33 102 H68O34 H2O 1,4,5,7,9,11,12,17,25,26,27,29,30,31,35,38,39,41,42,43,48,59,72,74
034 34 80 H53O27 H2O 1,6,8,12,13,15,17,18,30,31,33,35,40,43,52,53,61,62,64,66,70,76,77,78,79
035 35 84 H56O28 H2O 8,12,13,14,15,19,27,29,31,32,34,37,39,43,45,46,47,50,60,64,65,69,77,79,82
036 36 103 H69O34 H2O 1,12,13,14,15,19,26,28,29,31,32,33,36,38,42,44,46,49,53,57,58,60,62,63,64,66,78
037 37 102 H68O34 H2O 1,8,10,12,14,15,18,26,29,31,32,33,34,38,42,44,46,51,57,58,60,64,65,69,77,80
038 38 78 H52O26 H2O 6,10,13,17,22,25,26,28,30,34,37,39,40,42,47,49,56,58,63,64,68,72,74,75,76,79
039 39 84 H56O28 H2O 8,12,13,27,28,29,30,31,33,41,43,46,47,49,50,55,61,62,66,68,69,74,75,76
040 40 78 H52O26 H2O 9,13,14,18,19,28,29,30,32,40,41,48,49,50,55,56,62,63,67,70,72,75,76,77,78
041 41 93 H62O31 H2O 9,11,13,14,16,18,19,29,30,32,34,42,44,46,49,51,52,55,60,64,67,70,74,75,76
042 42 72 H48O24 H2O 9,11,13,14,18,19,30,32,34,40,42,44,47,48,55,61,62,65,69,71,75,76
043 43 69 H46O23 H2O 1,4,9,13,14,16,18,20,28,29,31,36,41,46,47,53,69
044 44 94 H63O31 H2O 1,4,6,7,9,13,14,16,18,20,28,31,32,33,40,45,48,51,59,62,66,69,75,80,81,83
045 45 84 H56O28 H2O 9,13,15,16,20,27,29,30,31,33,34,35,39,41,44,46,47,48,52,54,62,65,69,73,81,82,84
046 46 93 H62O31 H2O 13,14,15,18,24,27,29,30,31,34,36,40,42,43,45,47,48,56,61,64,73,74,76
