# cluster_id frame_index natoms formula center_formula selected_molecule_ids
001 1 84 H58N6O20 H3N 7,8,9,11,12,15,17,18,27,29,31,35,37,40,42,46,54,59,64,72,77,78,81,82,83
002 2 70 H48N4O18 H5NO 1,12,20,22,25,29,31,44,46,52,55,59,62,67,68,70,74,80,85
003 3 87 H60N6O21 H3N 6,7,8,9,12,15,17,25,27,29,31,35,37,40,44,61,68,78,79,84,87,88
004 4 84 H58N6O20 H3N 1,7,8,9,11,12,15,17,26,28,30,32,36,37,39,43,56,61,67,75,80,81,84,85,86
005 5 83 H57N5O21 H3N 1,7,8,9,11,12,13,15,17,27,29,31,36,37,40,45,48,56,59,63,73,78,79,82,83
006 6 73 H50N4O19 H3N 1,7,8,10,11,13,15,25,27,33,34,36,44,53,57,61,76,77,81
007 7 83 H57N5O21 H3N 6,7,8,10,11,12,14,16,19,24,26,32,33,34,43,51,55,71,74,75,77,78
008 8 91 H63N7O21 H3N 1,4,8,10,11,17,25,28,30,34,36,38,42,44,46,52,53,62,70,72,76,80,81
009 9 76 H52N4O20 H5NO 2,8,10,11,13,14,16,17,20,27,33,34,35,37,42,44,54,60,76,80,81
010 10 94 H64N4O26 H3N 2,6,8,9,11,12,15,17,18,21,24,26,27,29,33,34,42,50,52,66,71,72,76
011 11 84 H57N3O24 H3N 2,6,8,9,11,12,14,15,17,18,21,24,27,29,31,35,36,37,45,60,66,82,83,87
012 12 85 H58N4O23 H3N 2,4,7,8,11,14,16,19,21,24,26,29,34,42,45,48,52,55,76,77,81
013 13 90 H62N6O22 H5NO 1,2,6,9,12,15,17,18,20,23,26,28,31,34,35,36,43,56,60,66,72,78,81
014 14 78 H54N6O18 H3N 2,6,8,11,13,14,16,17,20,29,30,34,46,51,55,61,69,73,74,76,77
015 15 77 H53N5O19 H3N 2,6,8,9,12,14,15,17,21,29,30,32,36,37,48,52,56,61,70,76,77,78,79
016 16 84 H58N6O20 H3N 2,6,8,9,12,13,15,17,21,27,30,32,36,37,38,50,55,64,74,75,81,82,85,86
017 17 87 H60N6O21 H3N 1,2,6,8,9,12,13,15,17,21,27,29,30,32,36,37,38,55,59,63,71,72,77,81
018 18 75 H52N6O17 H3N 2,6,8,9,12,15,17,28,29,31,36,37,38,49,55,60,64,74,75,79,80,83
019 19 80 H55N5O20 H3N 2,6,8,9,12,15,17,20,29,30,32,37,38,39,53,58,62,64,66,75,76,80,84
020 20 81 H56N6O19 H3N 2,6,8,9,12,16,19,29,31,36,37,38,50,55,60,62,65,77,78,81,82,83,84
021 21 85 H59N7O19 H3N 2,6,8,9,12,14,16,19,25,29,31,36,37,38,56,65,76,77,80,81,83,84
022 22 72 H49N3O20 H3N 2,3,6,8,9,11,12,15,17,20,29,30,32,36,37,38,62,75,76
023 23 96 H66N6O24 H5NO 0,1,6,11,12,14,24,27,31,32,39,41,43,47,49,55,59,61,69,71,72,74,76,80,81
024 24 89 H61N5O23 H5NO 1,6,12,22,24,27,29,31,33,39,42,44,48,50,56,60,62,69,71,72,76,81,82
025 25 76 H52N4O20 H3N 6,8,9,11,12,15,17,18,27,29,31,33,38,53,55,58,63,69,79,81,84,85
026 26 87 H60N6O21 H3N 2,6,8,9,10,11,14,16,26,28,30,37,38,46,53,55,67,71,75,78,79,82
027 27 77 H52N2O23 H3N 2,6,8,9,11,12,16,19,26,27,29,31,36,44,50,51,53,56,65,69,78,79
028 28 88 H60N4O24 H3N 2,6,8,9,11,12,16,20,23,26,27,28,30,35,42,48,50,52,57,61,76,78
029 29 99 H68N6O25 H7NO2 2,3,6,7,8,9,12,13,14,16,20,23,26,28,29,30,32,37,47,49,52,61,71,78,79,80
030 30 82 H56N4O22 H3N 2,6,8,9,12,13,17,20,21,24,27,29,30,32,37,43,49,54,58,63,73,79,81,84
031 31 77 H53N5O19 H7NO2 1,4,8,12,16,20,24,27,33,36,46,48,53,54,58,63,67,69,77
032 32 89 H61N5O23 H3N 2,5,7,8,10,11,16,17,19,23,26,27,29,33,36,37,48,53,68,74,75,78,79
033 33 89 H61N5O23 H3N 2,6,8,9,11,16,19,26,28,30,32,34,37,38,42,51,56,60,66,71,75,80,84
034 34 64 H44N4O16 H3N 6,8,9,11,12,16,27,29,38,39,46,53,58,63,73,78,82,83,88
035 35 76 H52N4O20 H3N 1,4,8,10,11,13,17,27,29,35,39,40,45,49,50,51,55,56,72,73,78,82
036 36 88 H60N4O24 H3N 2,6,8,9,11,12,16,26,28,30,32,36,37,38,45,47,48,53,58,65,71,80,81,84,86
037 37 84 H58N6O20 H7NO2 1,6,11,12,14,29,33,35,39,40,45,49,51,56,57,58,61,69,70,74,75,77
038 38 74 H50N3O21 H3N 2,6,8,9,11,12,13,16,23,26,28,32,36,37,44,46,49,50,54,59,78,79,83
039 39 80 H54N3O23 H3N 3,7,9,11,12,13,16,24,27,29,30,33,38,45,49,52,53,56,77,78,83
040 40 87 H59N4O24 H3N 7,9,10,12,13,14,18,25,28,30,32,36,39,47,50,51,53,55,60,77,78,83
041 41 86 H58N2O26 H3N 2,6,10,12,16,22,25,27,31,32,36,37,39,42,43,48,49,54,64,70,73
042 42 76 H51N2O23 H3N 3,7,9,10,11,16,27,29,31,33,38,39,48,54,59,68,76,77
043 43 83 H56N3O24 H3N 3,7,9,10,11,15,16,28,30,36,46,50,58,67,75,76,79
044 44 70 H47N3O20 H3N 3,7,9,10,12,13,17,27,29,31,37,44,48,49,52,71,72,75
045 45 82 H55N3O24 H3N 0,3,7,8,9,10,12,13,25,27,35,37,43,44,48,51,56,74,75
046 46 70 H47N2O21 H3N 3,7,8,9,10,12,13,17,22,28,30,38,39,40,50,53,55,60,76,77
047 47 89 H60N4O25 H3N 2,7,9,10,12,13,18,19,24,30,32,33,34,36,40,41,42,52,57,60,64,78,81
048 48 92 H62N4O26 H3N 7,8,9,10,12,13,14,17,21,26,28,29,30,32,37,38,39,49,52,56,60,75,76,79
049 49 92 H62N4O26 H3N 7,9,10,12,13,14,18,19,24,30,32,33,39,40,41,51,54,58,63,81,83
050 50 91 H61N3O27 H3N 3,7,9,10,12,13,14,18,19,31,34,37,38,39,40,47,52,53,55,59,74,75,77
