run_id,err_path,production_start_step,production_last_step,usable_start_step,production_start_fraction,production_last_fraction,usable_start_fraction,selection_rule,frame_mapping_metadata,total_steps_seen
P100GPa_R1,NO_PRODUCTION_HOLD_FOUND_FULL_TRAJECTORY_FALLBACK,0,4000000,0,0.0,1.0,0.0,no production_hold .err log found; full condensed trajectory scanned,No production_hold .err log was available for this condition.,4000000
P100GPa_R0p5,NO_PRODUCTION_HOLD_FOUND_FULL_TRAJECTORY_FALLBACK,0,4000000,0,0.0,1.0,0.0,no production_hold .err log found; full condensed trajectory scanned,No production_hold .err log was available for this condition.,4000000
P100GPa_R0p2,NO_PRODUCTION_HOLD_FOUND_FULL_TRAJECTORY_FALLBACK,0,4000000,0,0.0,1.0,0.0,no production_hold .err log found; full condensed trajectory scanned,No production_hold .err log was available for this condition.,4000000
P100GPa_R0p1,NO_PRODUCTION_HOLD_FOUND_FULL_TRAJECTORY_FALLBACK,0,4000000,0,0.0,1.0,0.0,no production_hold .err log found; full condensed trajectory scanned,No production_hold .err log was available for this condition.,4000000
P100GPa_R0,NO_PRODUCTION_HOLD_FOUND_FULL_TRAJECTORY_FALLBACK,0,4000000,0,0.0,1.0,0.0,no production_hold .err log found; full condensed trajectory scanned,No production_hold .err log was available for this condition.,4000000
P10GPa_R1,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P10GPa_R1_415091.err,800005,1117385,831743,0.20000125,0.27934625,0.20793575,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P10GPa_R0p5,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P10GPa_R0p5_415089.err,800005,1171725,837177,0.20000125,0.29293125,0.20929425,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P10GPa_R0p2,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P10GPa_R0p2_415088.err,800005,1205575,840562,0.20000125,0.30139375,0.2101405,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P10GPa_R0p1,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P10GPa_R0p1_415087.err,800005,1205320,840537,0.20000125,0.30133,0.21013425,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P10GPa_R0,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P10GPa_R0_415090.err,800005,1101375,830142,0.20000125,0.27534375,0.2075355,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P1GPa_R1,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P1GPa_R1_415096.err,800005,1266805,846685,0.20000125,0.31670125,0.21167125,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P1GPa_R0p5,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P1GPa_R0p5_415094.err,800005,1295755,849580,0.20000125,0.32393875,0.212395,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P1GPa_R0p2,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P1GPa_R0p2_415093.err,800005,1317750,851780,0.20000125,0.3294375,0.212945,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P1GPa_R0p1,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P1GPa_R0p1_415092.err,800005,1325790,852584,0.20000125,0.3314475,0.213146,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P1GPa_R0,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P1GPa_R0_415095.err,800005,1334745,853479,0.20000125,0.33368625,0.21336975,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P0p11GPa_R1,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P0p11GPa_R1_415081.err,800005,1492115,869216,0.20000125,0.37302875,0.217304,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P0p11GPa_R0p5,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P0p11GPa_R0p5_415079.err,800005,1444855,864490,0.20000125,0.36121375,0.2161225,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P0p11GPa_R0p2,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P0p11GPa_R0p2_415078.err,800005,1517760,871781,0.20000125,0.37944,0.21794525,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P0p11GPa_R0p1,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P0p11GPa_R0p1_415077.err,800005,1523070,872312,0.20000125,0.3807675,0.218078,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
P0p11GPa_R0,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\slurm\cond_P0p11GPa_R0_415080.err,800005,1504860,870491,0.20000125,0.376215,0.21762275,frame_fraction=condensed_frame/(n_condensed_frames-1); keep usable_start_fraction <= frame_fraction <= production_last_fraction,No exact condensed-frame-to-MD-step mapping is assumed. The .err production_hold window is converted to fractional progress.,4000000
